chapter,line,stanza,english
59,4,1,"a heavy accumulation of integrity is when nothing cannot be overcome,"
59,5,1,"when nothing cannot be overcome, no one knows its limit,"
59,6,1,"when no one knows its limit, one can maintain the state."
59,7,1,"Holding the mother of the state, one can last long."
59,8,2,"This is called the Tao of deep roots, firm base, long life, and enduring vision."
60,1,1,Governing a large state is like cooking a small fish.
60,2,2,"Oversee the world with the Tao, and the ghosts lose their potency,"
60,3,2,"not only do ghosts lose their potency, their potency causes no harm to people,"
60,4,2,"not only does their potency do no harm, the sage, too, does no harm to people."
60,5,3,"And since the two do no harm to each other, their integrity converges and returns."
61,1,1,"The large state is the downstream flow,"
61,2,1,"the confluence of the world, the female of the world."
61,3,1,The female always overcomes the male by stillness.
61,4,1,By stillness she is underneath.
61,5,2,"So the large state, by going below the small state, takes the small state."
61,6,2,"The small state, by going below the large state, takes the large state."
61,7,2,"The large state takes by going low, the small state by staying low."
61,8,3,The large state wants nothing more than to gather and rear people.
61,9,3,The small state wants nothing more than to enter and serve people.
61,10,3,Both get what they want.
61,11,3,The large one ought to be underneath.
62,1,1,"The Tao is the sanctuary of the countless things,"
62,2,1,"the treasure of those who are masterful,"
62,3,1,the safekeeping of those who are not.
62,4,2,Fine words can buy honor.
62,5,2,Fine conduct can raise a person above others.
62,6,2,"So when a person is unmasterful, why abandon them?"
62,7,3,"When they raise up a child of the sky and install the three ministers,"
62,8,3,"though jade discs go before teams of four horses,"
62,9,3,better to sit where you are and offer this Tao.
62,10,4,What made the ancients honor this Tao?
62,11,4,"Did they not say: seek, and you find;"
62,12,4,"commit a crime, and you are spared?"
62,13,4,And so it is the most honored in the world.
63,1,1,"Do the not-doing,"
63,2,1,"serve the not-serving,"
63,3,1,taste the flavorless.
63,4,1,"Great or small, many or few,"
63,5,1,repay resentment with integrity.
63,6,2,Map out the difficult while it is easy.
63,7,2,Do the great while it is slight.
63,8,2,The world's difficult affairs always begin easy.
63,9,2,The world's great affairs always begin slight.
63,10,3,"So the sage never does the great,"
63,11,3,and so completes their greatness.
63,12,4,Promise lightly and you will be little trusted.
63,13,4,Take much to be easy and much will be difficult.
63,14,4,"So the sage still finds it difficult,"
63,15,4,and in the end has no difficulty.
64,1,1,What is at rest is easy to hold.
64,2,1,What shows no sign is easy to plan for.
64,3,1,What is brittle is easy to shatter.
64,4,1,What is faint is easy to scatter.
64,5,1,Handle it before it exists.
64,6,1,Order it before it is chaotic.
64,7,2,The tree the width of both arms is born from a hair's tip.
64,8,2,The nine-tiered terrace rises from a heap of dirt.
64,9,2,The thousand-mile journey begins beneath your feet.
64,10,3,Those who handle it ruin it.
64,11,3,Those who grasp it lose it.
64,12,3,"Therefore, the sage does not do, and so ruins nothing,"
64,13,3,"does not grasp, and so loses nothing."
64,14,4,People often ruin their affairs just short of completing them.
64,15,4,"Be as careful at the end as at the beginning,"
64,16,4,and nothing will be ruined.
64,17,5,"Therefore, the sage wants the not-wanting"
64,18,5,"and does not prize precious goods,"
64,19,5,"learns to unlearn,"
64,20,5,"brings the crowd back from where they have gone too far,"
64,21,5,"and supports the countless things in being so of themselves,"
64,22,5,and never pushes them.
65,1,1,The ancients who were masterful at the Tao
65,2,1,did not use it to make the people clever.
65,3,1,They used it to return them to being guileless.
65,4,2,The people are hard to govern
65,5,2,because they have too much guile.
65,6,3,So to govern a state with guile robs the state.
65,7,3,Not to govern it with guile is the state's good fortune.
65,8,4,Knowing these two is itself the pattern.
65,9,4,Always to know the pattern
65,10,4,is called profound integrity.
65,11,5,"Profound integrity is deep, and far,"
65,12,5,"and turns back together with things,"
65,13,5,and only then runs with the great current.
66,1,1,Rivers and seas can rule the hundred valleys
66,2,1,because they are masterful at staying below them.
66,3,1,That is how they come to rule the hundred valleys.
66,4,2,"So to rise above the people, you must speak from below them."
66,5,2,"To walk ahead of the people, you must put yourself behind."
66,6,3,"The sage stands above, and the people are not weighed down,"
66,7,3,"stands in front, and the people are not hindered."
66,8,3,So the world gladly pushes them forward and never tires of them.
66,9,4,"Because they do not contend,"
66,10,4,no one in the world can contend with them.
67,1,1,"Everyone says I am vast, and look like nothing."
67,2,1,Only because I am vast do I look like nothing.
67,3,1,"If I looked like something, I would long ago have become petty."
67,4,2,I have three treasures. I hold them and keep them safe.
67,5,2,The first is tenderness.
67,6,2,The second is frugality.
67,7,2,The third is never pushing to be first in the world.
67,8,3,"Tenderness, and so you can be brave."
67,9,3,"Frugality, and so you can reach far."
67,10,3,"Never pushing to be first in the world, and so you can become chief of the vessels."
67,11,4,"Now: to abandon tenderness and grab at courage,"
67,12,4,"to abandon frugality and grab at reach,"
67,13,4,to abandon the rear and grab at the front.
67,14,4,That is death.
67,15,5,"Tenderness. Fight with it and you win, defend with it and you hold firm."
67,16,5,"When nature would rescue someone, it guards them with tenderness."
68,1,1,The master warrior is not martial.
68,2,1,The master fighter does not rage.
68,3,1,The master of overcoming enemies does not engage them.
68,4,1,The master of using people puts themselves below them.
68,5,2,This is called the integrity of not contending.
68,6,2,This is called using people's force.
68,7,2,"This is called partnered with the sky, the pinnacle of the ancients."
69,1,1,Soldiers have a saying:
69,2,1,I do not push to move first. I move second.
69,3,1,I do not push an inch into another's ground. I give up a foot of my own.
69,4,2,"This is called marching where there are no ranks,"
69,5,2,"baring an arm where there is no arm,"
69,6,2,"hauling where there is no enemy,"
69,7,2,gripping where there is no weapon.
69,8,3,There is no disaster greater than making light of the enemy.
69,9,3,Making light of the enemy nearly costs me my treasures.
69,10,4,"Therefore, when the armies are evenly matched, the side that grieves wins."
70,1,1,"My words are very easy to know,"
70,2,1,very easy to follow.
70,3,1,"In all the world, no one can know them."
70,4,1,No one can follow them.
70,5,2,Words have an ancestor.
70,6,2,Affairs have a ruler.
70,7,2,"Only because there is no knowing it,"
70,8,2,they do not know me.
70,9,3,Those who know me are few.
70,10,3,Those who pattern themselves on me are precious.
70,11,3,"Therefore, the sage wears coarse cloth, but carries jade against their chest."
71,1,1,To know you do not know is highest.
71,2,1,To not know yet claim to know is sickness.
71,3,2,Only when you are sick of the sickness are you not sick.
71,4,2,The sage is not sick because they are sick of the sickness.
72,1,1,"When the people no longer fear authority,"
72,2,1,the great collapse comes.
72,3,1,Do not crowd people in their homes.
72,4,1,Do not oppress their livelihoods.
72,5,1,Only when you do not oppress them will they not tire of you.
72,6,2,"And so the sage knows themselves and does not display themselves,"
72,7,2,loves themselves and does not hold themselves precious.
72,8,2,They let go of what is out there and take what is here.
73,1,1,Bravery in pushing gets you killed.
73,2,1,Bravery in not pushing keeps you alive.
73,3,1,"Of these two, one benefits and one harms."
73,4,1,"What nature turns against, who knows why?"
73,5,1,So the sage still finds it difficult.
73,6,2,The way of nature:
73,7,2,"it does not contend, yet is masterful at overcoming."
73,8,2,"It does not speak, yet is masterful at answering."
73,9,2,"It does not summon, yet things come of themselves."
73,10,2,"It is unhurried, yet masterful at planning."
73,11,3,Nature's net is vast.
73,12,3,"Its mesh is wide, and nothing slips through."
74,1,1,"When the people do not fear death,"
74,2,1,why try to frighten them with death?
74,3,2,"Suppose the people always feared death,"
74,4,2,and I could seize whoever steps out of line and kill them.
74,5,2,Who would still push?
74,6,3,There is always one who does the killing.
74,7,3,To take their place is to take the place of the master carpenter.
74,8,3,"Of those who carve in place of the master carpenter,"
74,9,3,few fail to cut their own hand.
75,1,1,The people go hungry
75,2,1,because those over them eat up so much in taxes.
75,3,2,The people are hard to govern
75,4,2,because those over them will not stop doing.
75,5,3,The people make light of death
75,6,3,because those over them want their own lives so rich.
75,7,4,Those who don't use living for doing
75,8,4,are worthier than those who hold life precious.
76,1,1,In life the body is soft and yielding.
76,2,1,"In death, hard and strong."
76,3,1,"In life the countless things, the grasses and trees, are soft and tender."
76,4,1,"In death, withered and dry."
76,5,2,So the hard and strong are followers of death.
76,6,2,The soft and yielding are followers of life.
76,7,3,"This is why a strong army does not win,"
76,8,3,and a strong tree snaps.
76,9,4,The strong and the big dwell below.
76,10,4,The soft and the yielding dwell above.
77,1,1,The way of nature:
77,2,1,is it not like stringing a bow?
77,3,1,"The high is pressed down, the low is lifted."
77,4,1,What is too much is drawn off. What is too little is filled in.
77,5,2,The way of nature
77,6,2,takes from where there is too much
77,7,2,and mends where there is too little.
77,8,2,The way of people is not like this.
77,9,2,It takes from those who have too little
77,10,2,and offers it up to those who have too much.
77,11,3,"Who has more than enough,"
77,12,3,and offers it up to the world?
77,13,3,Only those who are with the Tao.
77,14,4,Therefore the sage acts yet relies on nothing.
77,15,4,"The work is done, and they do not stay in it."
77,16,4,They have no wish to appear exceptional.
78,1,1,"In all the world nothing is softer and more yielding than water,"
78,2,1,"yet at attacking the hard and the strong nothing overcomes it,"
78,3,1,for nothing can take its place.
78,4,2,The yielding overcomes the strong.
78,5,2,The soft overcomes the hard.
78,6,2,"No one in the world fails to know this,"
78,7,2,yet no one can follow it.
78,8,3,So the sage says:
78,9,3,whoever takes on the filth of the state
78,10,3,is the keeper of the soil and the grain.
78,11,3,Whoever takes on the ill omen of the state
78,12,3,is the ruler of the world.
78,13,4,Words on the mark seem like their opposite.
79,1,1,Settle a great grudge
79,2,1,and some grudge always remains.
79,3,1,How could that count as masterful?
79,4,2,So the sage holds their half of the tally
79,5,2,and never asks for the other.
79,6,3,Those with integrity keep the tally.
79,7,3,Those without integrity keep score.
79,8,4,The way of nature plays no favorites.
79,9,4,It stays with those who are masterful.
80,1,1,"A small state, few people."
80,2,1,"Let the people have tools that do the work of ten, of a hundred, yet no need to use them."
80,3,1,"Let the people find death heavy, and not move far away."
80,4,2,"Though there are boats and carts, there is no call to travel in them."
80,5,2,"Though there are armor and weapons, there is no call to march them out."
80,6,3,Let the people go back to keeping their records in knotted cord.
80,7,4,"They find their food sweet,"
80,8,4,"their clothes fine,"
80,9,4,"their houses restful,"
80,10,4,their ways a pleasure.
80,11,5,Neighboring states lie within sight of each other.
80,12,5,They hear each other's roosters and dogs.
80,13,5,The people grow old and die
80,14,5,and never once go next door.
81,1,1,Trustworthy words are not pretty.
81,2,1,Pretty words are not trustworthy.
81,3,2,Those who are masterful do not argue.
81,4,2,Those who argue are not masterful.
81,5,3,Those who know have not heard it all.
81,6,3,Those who have heard it all do not know.
81,7,4,The sage does not hoard.
81,8,4,"Having done for others, they have more."
81,9,4,"Having given to others, they have more still."
81,10,5,The way of nature benefits and does not harm.
81,11,5,The way of the sage acts and does not contend.
