chapter,base_line,base_reading,witness,witness_name,witness_kind,witness_reading,meaning_bearing,our_call,followed,note,logged
62,美言可以市尊，美行可以加人,市尊，美行,huainanzi,editorial,,市尊 | 美行 (quoted twice),yes,base,base,"RESOLVED 2026-08-12 by Shalom, against the recommendation, and the recommendation is recorded because the evidence is genuinely split. The silks, Fu Yi, Fan Yingyuan and both commentaries divide after 市 and read 尊行; our base divides after 尊 and reads 美行, and the Huainanzi (c. 139 BCE) quotes the base reading twice, in 人間訓 and 道應訓, with Yu Yue and Zhu Qianzhi following it. We keep the base: the 美 / 美 parallel is the reading our own recension carries and the oldest quotation supports, and the split camp is not unanimous either (Fu Yi reads 尊言, not 尊行). The arguments on the other side — lectio difficilior, and Wang Bi's commentary disagreeing with the text printed over it — are set out in notes/manuscript.md and stand as the case against this call.",notes/manuscript.md
62,道者萬物之奧,奧,mawangdui-a,Mawangdui silk A,excavated,注,yes,base,base,"The chapter's opening word, and the oldest witnesses do not have it. Gao Ming's Boshu Laozi Jiaozhu reads the silks' 注 as a loan for 主 (zhu — master), giving ""the Tao is the master of the countless things"", and cites Zheng Xuan on Liji Liyun (奧猶主也) and Zuozhuan Zhao 13 (國有奧主) to show that 奧 itself bore that sense. We keep 奧 and decline the mastery reading, because Ch 34 denies it twice in the identical words — 衣養萬物而不為主 and 萬物歸焉而不為主. Both of the silks' available senses (注 as ""pour into"", or 主 by way of 奧's own ""one who presides at the corner"") run through a place, and the place is the older layer of the word. See notes/translation.md.",notes/manuscript.md
62,道者萬物之奧,奧,mawangdui-b,Mawangdui silk B,excavated,注,yes,base,base,"The chapter's opening word, and the oldest witnesses do not have it. Gao Ming's Boshu Laozi Jiaozhu reads the silks' 注 as a loan for 主 (zhu — master), giving ""the Tao is the master of the countless things"", and cites Zheng Xuan on Liji Liyun (奧猶主也) and Zuozhuan Zhao 13 (國有奧主) to show that 奧 itself bore that sense. We keep 奧 and decline the mastery reading, because Ch 34 denies it twice in the identical words — 衣養萬物而不為主 and 萬物歸焉而不為主. Both of the silks' available senses (注 as ""pour into"", or 主 by way of 奧's own ""one who presides at the corner"") run through a place, and the place is the older layer of the word. See notes/translation.md.",notes/manuscript.md
62,故立天子，置三公,三公,mawangdui-a,Mawangdui silk A,excavated,三鄉 (read by editors as 三卿),no,base,base,"The silks write 鄉, which editors read as a loan for 卿 (qing — high minister). Not meaning-bearing, and logged because it settles an English question: 公 is conventionally rendered ""duke"", but the oldest witness names the office with the word that means minister. Our ""the three ministers"" is the older reading's own word. The same line confirms 天子 stands in the silks — the title is not a later accretion.",notes/manuscript.md
62,故立天子，置三公,三公,mawangdui-b,Mawangdui silk B,excavated,三鄉 (read by editors as 三卿),no,base,base,"The silks write 鄉, which editors read as a loan for 卿 (qing — high minister). Not meaning-bearing, and logged because it settles an English question: 公 is conventionally rendered ""duke"", but the oldest witness names the office with the word that means minister. Our ""the three ministers"" is the older reading's own word. The same line confirms 天子 stands in the silks — the title is not a later accretion.",notes/manuscript.md
62,善人之寶，不善人之所保,寶 … 保,mawangdui-a,Mawangdui silk A,excavated,one graph used in both positions,yes,base,base,"Two separate forks. (1) Where our base uses two different graphs, 寶 (treasure) then 保 (keep safe), the silks use the same graph twice — published transcriptions differ on which, and that disagreement is itself modern editorial work. So the received text's pair may be a later differentiation of one word. (2) Dunhuang manuscripts, Yan Zun and Zhao Zhijian read 不善人之所不保 — with a negation, reversing the clause. Yan Kejun reports all editions reading 所保. We keep the base text; the negation would make the Tao what the unmasterful fail to keep, which contradicts the chapter's 何棄之有.",notes/manuscript.md
62,善人之寶，不善人之所保,寶 … 保,mawangdui-b,Mawangdui silk B,excavated,one graph used in both positions,yes,base,base,"Two separate forks. (1) Where our base uses two different graphs, 寶 (treasure) then 保 (keep safe), the silks use the same graph twice — published transcriptions differ on which, and that disagreement is itself modern editorial work. So the received text's pair may be a later differentiation of one word. (2) Dunhuang manuscripts, Yan Zun and Zhao Zhijian read 不善人之所不保 — with a negation, reversing the clause. Yan Kejun reports all editions reading 所保. We keep the base text; the negation would make the Tao what the unmasterful fail to keep, which contradicts the chapter's 何棄之有.",notes/manuscript.md
62,善人之寶，不善人之所保,寶 … 保,dunhuang,editorial,,所不保,yes,base,base,"Two separate forks. (1) Where our base uses two different graphs, 寶 (treasure) then 保 (keep safe), the silks use the same graph twice — published transcriptions differ on which, and that disagreement is itself modern editorial work. So the received text's pair may be a later differentiation of one word. (2) Dunhuang manuscripts, Yan Zun and Zhao Zhijian read 不善人之所不保 — with a negation, reversing the clause. Yan Kejun reports all editions reading 所保. We keep the base text; the negation would make the Tao what the unmasterful fail to keep, which contradicts the chapter's 何棄之有.",notes/manuscript.md
63,大小多少，報怨以德,報怨以德,mawangdui-a,Mawangdui silk A,excavated,報怨以德,no,base,base,"Not a fork but an attestation, and it settles a long-standing suspicion. The line is routinely treated as a stray from Ch 79 (和大怨) that migrated here. Mawangdui A has it in this chapter, immediately after 大小多少, so it is original to Ch 63 and the collision with Analects 14.34 is the text's own.",notes/manuscript.md
63,夫輕諾必寡信,輕諾必寡信,mawangdui-b,Mawangdui silk B,excavated,damaged — two graphs illegible in the 輕…信 span,no,base,base,"Both silks are damaged through this line and B preserves only part of it, so the 信 → trust lock rests here on the received text alone. Recorded as the fact of the damage, not as anyone's reconstruction of the lost graphs.",notes/manuscript.md
64,其脆易泮，其微易散,泮,heshanggong,Heshang Gong,received,破,yes,base,base,"Our Wang Bi base reads 泮 (pàn — to thaw; the water radical, ice going soft), Heshang Gong's lemma text reads 破 (pò — to shatter). Thaw versus break, for a thing described as 脆 (cuì — brittle). The Siku editors flag the head character too — 〔案脆釋文云一作膬〕, the Shiwen reporting 膬 for 脆. We keep the base graph and render toward shattering, which is what brittleness does; the fork is small but it is the difference between a thing dissolving and a thing snapping.",notes/manuscript.md
64,whole chapter,one continuous chapter,guodian,Guodian bamboo slips,excavated,halves separated; second half copied twice,no,base,base,"At Guodian the two halves of this chapter are not adjacent and not equally attested. Bundle A carries the second half (為者敗之 onward) in its first slip-unit and the first half (其安易持 onward) in its fourth, with other chapters between them; bundle C carries the second half again. So the second half is the only passage in the Guodian Laozi copied twice, and the two halves never appear joined in the order our base text gives them. A fact about how the material circulated around 300 BCE, not a fork to decide — but strong evidence the received chapter is two sayings joined, and the seam is visible in the sense at exactly the point the slips break it. See sources/guodian-inventory.yaml.",notes/manuscript.md
65,知此兩者亦稽式,稽,heshanggong,Heshang Gong,received,楷,no,base,base,"Our Wang Bi base reads 稽式 (jī shì); Heshang Gong's text reads 楷式 (kǎi shì), and the Siku editors flag it themselves — 〔案河上公注本稽作楷下同〕, ""in the Heshang Gong recension 稽 is written 楷, and likewise below."" Both compounds mean a standard or model, so the English is the same either way. Recorded because the two commentators gloss it differently and the reading turns on that, not on the graph: Wang Bi takes 稽 as 同 (tóng — held in common), 今古之所同則不可廢, ""what past and present hold in common cannot be discarded""; Heshang Gong takes 楷式 as 法式, the working pattern for governing self and state.",notes/manuscript.md
67,天下皆謂我道大，似不肖,我道大,heshanggong,Heshang Gong,received,我大,yes,heshanggong,witness,"RESOLVED 2026-08-19 — we follow 我大, ""I am vast,"" against our own base text. Six arguments converge. (1) 不肖 is a self-deprecating FIRST-PERSON term in classical Chinese — ""I, the unworthy one,"" from a child not resembling its father; it is a person-word. (2) Heshang Gong's lemma omits 道 and his comment is unmistakably personal: 我則佯愚似不肖, ""I then feign foolishness and seem unworthy."" (3) He reads 細 as 小人, a petty person, not a small thing — which is where the earlier argument for the base text collapsed. (4) The chapter continues 我有三寶 with no change of subject. (5) 我 is the self SEEN (glossary/wo-wu-我吾.md), which is exactly what 天下皆謂我 needs. (6) Ch 20 and Ch 70 are the same chapter in other words, both first-person, both about being misperceived by 天下, and Ch 20 shares the 我…似X shape verbatim. 道 looks like a copyist softening an apparent boast. The base text and Source table keep 道; only the verse follows the witness, as at Ch 21.",notes/manuscript.md
67,不敢為天下先，故能成器長,器,hanfeizi,"Han Feizi, 解老 / 喻老",quotation,事,yes,base,base,"The Siku compilers flag it themselves — 〔案器韓非子作事〕, ""for 器, the Han Feizi text reads 事."" So the oldest witness to this passage reads 成事長, chief of affairs, where our base reads 成器長, chief of vessels. The difference is real: 器 (vessel, and the counter-term to 樸, uncarved wood) makes the line say that the uncarved comes to lead the carved; 事 (affairs) makes it an ordinary claim about precedence in undertakings. We keep 器, which Ch 28's 樸散則為器 supports, and log the older reading rather than bury it.",notes/manuscript.md
68,善勝敵者，不與,敵,heshanggong,Heshang Gong,received,戰,no,base,base,"Our base reads 善勝敵者, ""one masterful at overcoming enemies""; Heshang Gong's lemma reads 善勝戰者, ""one masterful at winning battles."" His own comment then uses 敵 twice — 不與敵爭而敵自服也 — so the reading behind the commentary is our base's, and the lemma looks like a copyist's assimilation to 善戰者 in the line above. Not meaning-bearing; logged because the chapter's four parallel 善X者 clauses are its whole structure, and a witness that repeats 戰 in two of them flattens it.",notes/manuscript.md
69,故抗兵相若，哀者勝矣,相若,wangbi,Wang Bi received recension,received,相加,no,base,base,"Our base text reads 相若 (xiāng ruò — ""are alike""), but the Siku printing of Wang Bi and the Song Heshang Gong both lemmatise 相加 (xiāng jiā), and Wang Bi glosses it 加當也 — ""加 means to be a match for."" Both readings land on ""evenly matched,"" so nothing in the English turns on it. Logged because this is the third place our so-called Wang Bi base departs from the Siku Wang Bi (see Ch 2 and Ch 73), which is a fact about the base text rather than about this chapter.",notes/manuscript.md
69,故抗兵相若，哀者勝矣,相若,heshanggong,Heshang Gong,received,相加,no,base,base,"Our base text reads 相若 (xiāng ruò — ""are alike""), but the Siku printing of Wang Bi and the Song Heshang Gong both lemmatise 相加 (xiāng jiā), and Wang Bi glosses it 加當也 — ""加 means to be a match for."" Both readings land on ""evenly matched,"" so nothing in the English turns on it. Logged because this is the third place our so-called Wang Bi base departs from the Siku Wang Bi (see Ch 2 and Ch 73), which is a fact about the base text rather than about this chapter.",notes/manuscript.md
72,無狎其所居,狎,heshanggong,Heshang Gong,received,狹,yes,base,base,"Two homophones, xiá. 狎 is 犭 (dog) beside 甲 — to crowd in, to grow over-familiar, to make light of. 狹 is 犭 beside 夾 (squeezed between) — narrow, cramped. The base reading is an act done to the people from outside; 河上公's is a condition of the space itself, which is what his reading of the chapter needs (心居神…當寬柔，不當急狹 — ""the heart is where the spirit dwells; it should be broad and yielding, not tight and cramped""). 王弼 has 狎 in his own commentary (自貴則物狎厭居生), so the base is secure.",notes/manuscript.md
73,天之所惡，孰知其故？,line absent,wangbi,Wang Bi received recension,received,是以聖人猶難之,yes,wangbi,witness,"RESOLVED 2026-08-20 — the line is RESTORED to the Source table and to source/chinese.md, by Shalom's call. Our base text had OMITTED a line that both classical commentaries carry after 孰知其故 — 是以聖人猶難之, ""therefore even the sage finds it difficult."" It is not a variant reading but a missing line, and both commentators build their argument on it: Wang Bi writes 夫聖人之明猶難於勇敢，況無聖人之明而欲行之也 (""the sage's own clarity still finds daring difficult; how much more one who lacks it and means to act anyway""), and Heshang Gong glosses it almost identically. Modern editors delete it as an importation from Ch 63, where the same six characters stand followed by 故終無難矣. But the deletion is editorial and modern, and the two oldest commentaries on our own base recension both had the line in front of them. UNDECIDED: restoring it means adding a row to the Source table, which is a base-text change and Shalom's call. The verse is currently drafted without it.",notes/manuscript.md
73,天之所惡，孰知其故？,line absent,heshanggong,Heshang Gong,received,是以聖人猶難之,yes,wangbi,witness,"RESOLVED 2026-08-20 — the line is RESTORED to the Source table and to source/chinese.md, by Shalom's call. Our base text had OMITTED a line that both classical commentaries carry after 孰知其故 — 是以聖人猶難之, ""therefore even the sage finds it difficult."" It is not a variant reading but a missing line, and both commentators build their argument on it: Wang Bi writes 夫聖人之明猶難於勇敢，況無聖人之明而欲行之也 (""the sage's own clarity still finds daring difficult; how much more one who lacks it and means to act anyway""), and Heshang Gong glosses it almost identically. Modern editors delete it as an importation from Ch 63, where the same six characters stand followed by 故終無難矣. But the deletion is editorial and modern, and the two oldest commentaries on our own base recension both had the line in front of them. UNDECIDED: restoring it means adding a row to the Source table, which is a base-text change and Shalom's call. The verse is currently drafted without it.",notes/manuscript.md
74,夫代司殺者殺，是謂代大匠斫,代司殺者殺,heshanggong,Heshang Gong,received,代司殺者,no,base,base,"Our base doubles 殺 — ""to stand in for the one who presides over killing and kill."" 河上公's lemma has it once: 夫代司殺者是謂代大匠斵. The Siku editors flag the divergence inside 王弼's own commentary text 〔案河上公注本作夫代司殺者是謂代大匠斲〕, so both printings in this repository agree that the two recensions differ here. Nothing in the English turns on it: an office named ""the one whose work is the killing"" already contains the act. Logged because it is a fourth place our base departs from a Siku-flagged reading (see Ch 2, 68, 73).",notes/manuscript.md
75,民之輕死，以其上求生之厚，是以輕死,以其上求生之厚,wangbi,Wang Bi received recension,received,以其求生之厚,yes,base,base,"Our base has 上 (shàng — those above) in the third charge; the lemmas in both commentary printings vendored here lack it, which throws 其 back onto the people and reverses who is being accused. 河上公's gloss reads it as the people; 王弼's comment — 皆由上不由其下也, ""entirely due to those above, not those below"" — reads the sense our base spells out. We keep the base for the triple parallel and for 王弼's 皆. Logged in notes/manuscript.md.",notes/manuscript.md
75,民之輕死，以其上求生之厚，是以輕死,以其上求生之厚,heshanggong,Heshang Gong,received,以其求生之厚,yes,base,base,"Our base has 上 (shàng — those above) in the third charge; the lemmas in both commentary printings vendored here lack it, which throws 其 back onto the people and reverses who is being accused. 河上公's gloss reads it as the people; 王弼's comment — 皆由上不由其下也, ""entirely due to those above, not those below"" — reads the sense our base spells out. We keep the base for the triple parallel and for 王弼's 皆. Logged in notes/manuscript.md.",notes/manuscript.md
76,是以兵強則不勝，木強則折,木強則折,wangbi,Wang Bi received recension,received,木強則兵,yes,base,base,"A three-way split, and both commentary printings vendored here depart from our base. 折 (zhé — to snap) is the base. 王弼's lemma reads 兵 (bīng — weapons), and his gloss commits to it: 物所加也, ""it is what gets applied to it"" — the strong tree draws the axe, so strength attracts violence rather than causing failure. 河上公's lemma reads 共 (gòng — together), glossed 木強大枝弱共生其上也, ""the tree being big and strong, the weak branches grow together above it"" — which turns the line into a setup for the closing couplet about below and above. We keep 折: the chapter's argument is physical throughout (corpse, green stem, dry stick), and 兵 would repeat the character from the clause immediately before it.",notes/manuscript.md
76,是以兵強則不勝，木強則折,木強則折,heshanggong,Heshang Gong,received,木強則共,yes,base,base,"A three-way split, and both commentary printings vendored here depart from our base. 折 (zhé — to snap) is the base. 王弼's lemma reads 兵 (bīng — weapons), and his gloss commits to it: 物所加也, ""it is what gets applied to it"" — the strong tree draws the axe, so strength attracts violence rather than causing failure. 河上公's lemma reads 共 (gòng — together), glossed 木強大枝弱共生其上也, ""the tree being big and strong, the weak branches grow together above it"" — which turns the line into a setup for the closing couplet about below and above. We keep 折: the chapter's argument is physical throughout (corpse, green stem, dry stick), and 兵 would repeat the character from the clause immediately before it.",notes/manuscript.md
80,使有什伯之器而不用,什伯之器,heshanggong,Heshang Gong,received,什伯人之器,no,base,base,"The Siku editors flag it inside 王弼's own text — 〔案什伯下河上公注本及各本 俱有人字〕, ""below 什伯, 河上公's commentary edition and all editions have the character 人"" — and 河上公's lemma confirms it, splitting at exactly that seam (使有什伯 / 人之器而不用). With 人 the phrase is ""tools for tens and hundreds of people""; without it, ""ten- and hundred-fold tools."" Both land on labour that many hands would otherwise do, which is what 王弼 reads anyway (無所用，何患 不足 — ""nowhere to use them; why worry about not enough?""). Logged because it is a fifth place our base departs from a Siku-flagged reading (see Ch 2, 68, 73, 74), and because 河上公 takes his 人 in a different direction from 王弼: 器謂農人之器 — the tools are the *farmers'*, and 不用 means the state does not requisition them (不徵召奪人良時也).",notes/manuscript.md
