chapter,line,character,pinyin,locked_term,expected_rendering,rendering_present,alignment_confidence,alignment_method,our_english_for_this_line
21,3,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"Elusive and vague, and within it there is an image."
21,3,物,wù,萬物,things / something,NOT FOUND,0.3,proportional,"Elusive and vague, and within it there is an image."
21,3,道,Dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"Elusive and vague, and within it there is an image."
21,5,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Vague and elusive, and within it there is a thing."
21,6,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Deep and dim, and within it there is vital essence."
21,6,物,wù,萬物,things / something,NOT FOUND,0.3,proportional,"Deep and dim, and within it there is vital essence."
21,7,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Its essence utterly real, and within it there is trust."
21,7,精,jīng,精,vital essence / essence,yes,0.3,proportional,"Its essence utterly real, and within it there is trust."
21,8,信,xìn,信,trust / trustworthy,yes,0.2,proportional-fill,"Its essence utterly real, and within it there is trust."
21,8,有,yǒu,無 & 有,presence,NOT FOUND,0.2,proportional-fill,"Its essence utterly real, and within it there is trust."
21,8,精,jīng,精,vital essence / essence,yes,0.2,proportional-fill,"Its essence utterly real, and within it there is trust."
21,10,眾,zhòng,眾,the crowd / the many,yes,0.3,proportional,"In this name, I observe the origin of the many."
21,11,吾,Wú,我 & 吾,the self seeing,NOT FOUND,0.3,proportional,How do I know the origin of the many is so? By this.
21,11,眾,zhòng,眾,the crowd / the many,yes,0.3,proportional,How do I know the origin of the many is so? By this.
22,1,全,quán,全,whole · stay whole · keep whole (transitive),yes,0.3,proportional,"Bend, and stay whole. Be wronged, and be made straight."
22,1,曲,Qū,全,bend / bent,yes,0.3,proportional,"Bend, and stay whole. Be wronged, and be made straight."
22,7,一,yī,一,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,NOT FOUND,0.3,proportional,"They do not show themselves off, and so they see clearly."
22,8,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"They do not insist they are right, and so their rightness shows."
22,8,為,wéi,為,do / handle / serve as,yes,0.3,proportional,"They do not insist they are right, and so their rightness shows."
22,9,明,míng,明,clear-seeing / clarity,NOT FOUND,0.2,proportional-fill,"They do not insist they are right, and so their rightness shows."
22,11,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"They do not make themselves great, and so they endure."
22,13,爭,zhēng,爭,contend / contention,yes,0.3,proportional,"Because they do not contend, no one in the world can contend with them."
22,14,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"When the ancients said ""bend, and stay whole,"" were those empty words?"
22,14,爭,zhēng,爭,contend / contention,NOT FOUND,0.3,proportional,"When the ancients said ""bend, and stay whole,"" were those empty words?"
22,15,全,quán,全,whole · stay whole · keep whole (transitive),yes,0.2,proportional-fill,"When the ancients said ""bend, and stay whole,"" were those empty words?"
22,15,曲,qū,全,bend / bent,yes,0.2,proportional-fill,"When the ancients said ""bend, and stay whole,"" were those empty words?"
22,17,全,quán,全,whole · stay whole · keep whole (transitive),yes,0.2,proportional-fill,These words hold. Return to them. Stay whole.
23,4,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.2,proportional-fill,and a downpour does not last out the day.
23,4,為,wèi,為,do / handle / serve as,yes,0.2,proportional-fill,and a downpour does not last out the day.
23,5,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,Who does this? Sky and earth.
23,7,事,shì,事,"affairs / undertakings (noun) · to serve, to attend to (verb)",NOT FOUND,0.3,proportional,How much less a person?
23,7,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,How much less a person?
23,8,道,dào,道,the Tao (left untranslated),NOT FOUND,0.2,proportional-fill,How much less a person?
23,9,德,Dé,德,integrity,NOT FOUND,0.3,proportional,So one whose affairs follow the Tao is the same as the Tao.
23,9,德,dé,德,integrity,NOT FOUND,0.3,proportional,So one whose affairs follow the Tao is the same as the Tao.
23,11,道,dào,道,the Tao (left untranslated),NOT FOUND,0.2,proportional-fill,One of integrity is the same as integrity.
23,12,道,Dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,One of loss is the same as loss.
23,13,德,dé,德,integrity,NOT FOUND,0.3,proportional,"Those the same as the Tao, the Tao too gladly gets them."
23,14,德,Dé,德,integrity,yes,0.3,proportional,"Those the same as integrity, integrity too gladly gets them."
23,17,信,Xìn,信,trust / trustworthy,yes,0.3,proportional,"Where trust runs short, there is no trust."
23,18,信,xìn,信,trust / trustworthy,yes,0.2,proportional-fill,"Where trust runs short, there is no trust."
23,18,有,Yǒu,無 & 有,presence,NOT FOUND,0.2,proportional-fill,"Where trust runs short, there is no trust."
24,3,明,míng,明,clear-seeing / clarity,NOT FOUND,0.3,proportional,Those who show themselves off do not see clearly.
24,5,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,Those who claim the work have none.
24,7,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"Measured by the Tao, these are called leftover food and wasted motion."
24,9,物,Wù,萬物,things / something,NOT FOUND,0.3,proportional,Those who are with the Tao do not dwell among them.
24,10,有,yǒu,無 & 有,presence,NOT FOUND,0.2,proportional-fill,Those who are with the Tao do not dwell among them.
24,10,道,dào,道,the Tao (left untranslated),NOT FOUND,0.2,proportional-fill,Those who are with the Tao do not dwell among them.
25,1,有,Yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Something formed in the undifferentiated, born before sky and earth."
25,1,物,wù,萬物,things / something,yes,0.3,proportional,"Something formed in the undifferentiated, born before sky and earth."
25,2,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,Silent. Empty. Solitary. Unchanging.
25,2,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,0.3,proportional,Silent. Empty. Solitary. Unchanging.
25,6,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"Its true name, I will never know. Forcing a label upon it, I call it the Tao."
25,6,母,mǔ,母,mother,NOT FOUND,0.3,proportional,"Its true name, I will never know. Forcing a label upon it, I call it the Tao."
25,6,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"Its true name, I will never know. Forcing a label upon it, I call it the Tao."
25,7,吾,Wú,我 & 吾,the self seeing,NOT FOUND,0.2,proportional-fill,"Its true name, I will never know. Forcing a label upon it, I call it the Tao."
25,8,強,Qiǎng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,0.3,proportional,"Forcing a description for it, I call it the vast."
25,8,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"Forcing a description for it, I call it the vast."
25,9,強,Qiǎng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,0.3,proportional,"The vast means expanding, expanding means going far, going far means returning."
25,9,為,wèi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"The vast means expanding, expanding means going far, going far means returning."
25,13,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.2,proportional-fill,"Within all bounds there are four vast things, and one of them is human."
25,13,王,wáng,王,ruler / sovereign · to rule (verb),NOT FOUND,0.2,proportional-fill,"Within all bounds there are four vast things, and one of them is human."
25,13,道,dào,道,the Tao (left untranslated),NOT FOUND,0.2,proportional-fill,"Within all bounds there are four vast things, and one of them is human."
25,14,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Humans model themselves on the earth,"
25,15,一,yī,一,the one (lowercase) · one thing (ch 22) · plain numeral where it counts,NOT FOUND,0.3,proportional,"Earth models itself on the sky,"
25,15,王,wáng,王,ruler / sovereign · to rule (verb),NOT FOUND,0.3,proportional,"Earth models itself on the sky,"
25,17,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"The sky models itself on the Tao,"
25,18,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,The Tao models itself on being what it is.
25,18,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,The Tao models itself on being what it is.
25,19,道,Dào,道,the Tao (left untranslated),NOT FOUND,0.2,proportional-fill,The Tao models itself on being what it is.
26,1,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,The heavy is the root of the ungrounded.
26,2,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,Silence is the ruler of the agitated.
26,4,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Even when the sights are glorious, their equanimity is undisturbed."
26,6,萬,wàn,萬物,countless,NOT FOUND,0.3,proportional,How could a great ruler become ungrounded in their being?
26,7,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,To become ungrounded is to lose connection with one’s roots.
27,1,善,Shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,0.3,proportional,Masterful traveling leaves no tracks.
27,1,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,Masterful traveling leaves no tracks.
27,2,善,Shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,0.3,proportional,Masterful speaking is flawless.
27,2,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,Masterful speaking is flawless.
27,3,善,Shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,0.2,proportional-fill,Masterful speaking is flawless.
27,3,用,yòng,無 & 有,use,NOT FOUND,0.2,proportional-fill,Masterful speaking is flawless.
27,4,善,Shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,0.3,proportional,Masterful calculating uses no abacus.
27,4,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,Masterful calculating uses no abacus.
27,5,善,Shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,0.3,proportional,"Masterful security uses no locks, yet cannot be breached."
27,5,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"Masterful security uses no locks, yet cannot be breached."
27,6,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,0.2,proportional-fill,"Masterful security uses no locks, yet cannot be breached."
27,6,常,cháng,常,the ever-present / the abiding,NOT FOUND,0.2,proportional-fill,"Masterful security uses no locks, yet cannot be breached."
27,7,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"Masterful tying uses no ropes, yet cannot be untied."
27,8,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,0.3,proportional,"Therefore the sage is always masterful at rescuing people, and so no one is abandoned."
27,8,常,Cháng,常,the ever-present / the abiding,NOT FOUND,0.3,proportional,"Therefore the sage is always masterful at rescuing people, and so no one is abandoned."
27,8,物,wù,萬物,things / something,NOT FOUND,0.3,proportional,"Therefore the sage is always masterful at rescuing people, and so no one is abandoned."
27,9,無,wú,無 & 有,absence,NOT FOUND,0.2,proportional-fill,"Therefore the sage is always masterful at rescuing people, and so no one is abandoned."
27,9,物,wù,萬物,things / something,NOT FOUND,0.2,proportional-fill,"Therefore the sage is always masterful at rescuing people, and so no one is abandoned."
27,10,明,míng,明,clear-seeing / clarity,NOT FOUND,0.3,proportional,"Always masterful at rescuing things, and so nothing is abandoned."
27,11,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.3,proportional,This is called clarity worn covered.
27,12,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.2,proportional-fill,This is called clarity worn covered.
27,13,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),yes,0.3,proportional,"Therefore, the masterful one naturally teaches the novice."
27,14,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.3,proportional,And the novice is the raw material of the master.
27,18,妙,miào,玄 & 妙,subtle,NOT FOUND,0.2,proportional-fill,Even those who appear intelligent are lost. This is the essential secret.
28,2,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,serve as the world's ravine.
28,2,為,wéi,為,do / handle / serve as,yes,1.0,exact-count,serve as the world's ravine.
28,3,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,"Serve as the world's ravine, and the ever-present integrity never leaves you."
28,3,常,cháng,常,the ever-present / the abiding,yes,1.0,exact-count,"Serve as the world's ravine, and the ever-present integrity never leaves you."
28,3,德,dé,德,integrity,yes,1.0,exact-count,"Serve as the world's ravine, and the ever-present integrity never leaves you."
28,3,為,Wéi,為,do / handle / serve as,yes,1.0,exact-count,"Serve as the world's ravine, and the ever-present integrity never leaves you."
28,6,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,serve as the world's pattern.
28,6,為,wéi,為,do / handle / serve as,yes,1.0,exact-count,serve as the world's pattern.
28,7,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,"Serve as the world's pattern, and the ever-present integrity never varies."
28,7,常,cháng,常,the ever-present / the abiding,yes,1.0,exact-count,"Serve as the world's pattern, and the ever-present integrity never varies."
28,7,德,dé,德,integrity,yes,1.0,exact-count,"Serve as the world's pattern, and the ever-present integrity never varies."
28,7,為,Wéi,為,do / handle / serve as,yes,1.0,exact-count,"Serve as the world's pattern, and the ever-present integrity never varies."
28,8,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,Return again to the endless.
28,10,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,serve as the world's valley.
28,10,為,wéi,為,do / handle / serve as,yes,1.0,exact-count,serve as the world's valley.
28,11,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,"Serve as the world's valley, and the ever-present integrity is enough at last."
28,11,常,cháng,常,the ever-present / the abiding,yes,1.0,exact-count,"Serve as the world's valley, and the ever-present integrity is enough at last."
28,11,德,dé,德,integrity,yes,1.0,exact-count,"Serve as the world's valley, and the ever-present integrity is enough at last."
28,11,為,Wéi,為,do / handle / serve as,yes,1.0,exact-count,"Serve as the world's valley, and the ever-present integrity is enough at last."
28,12,樸,pǔ,樸,uncarved wood / the uncarved,yes,1.0,exact-count,Return again to the uncarved wood.
28,13,器,qì,器,vessel / tool / implement,yes,1.0,exact-count,"The uncarved wood scatters, and becomes vessels."
28,13,樸,Pǔ,樸,uncarved wood / the uncarved,yes,1.0,exact-count,"The uncarved wood scatters, and becomes vessels."
28,13,為,wéi,為,do / handle / serve as,NOT FOUND,1.0,exact-count,"The uncarved wood scatters, and becomes vessels."
28,14,為,wéi,為,do / handle / serve as,NOT FOUND,1.0,exact-count,The sage puts them to use and becomes chief of the officers.
28,14,用,yòng,無 & 有,use,yes,1.0,exact-count,The sage puts them to use and becomes chief of the officers.
29,1,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,Those who wish to force their will upon the world — I see that this cannot be done.
29,1,為,wéi,為,do / handle / serve as,yes,0.3,proportional,Those who wish to force their will upon the world — I see that this cannot be done.
29,2,吾,wú,我 & 吾,the self seeing,NOT FOUND,0.3,proportional,The world is a sacred vessel. It cannot be forced. It cannot be grasped.
29,3,器,qì,器,vessel / tool / implement,NOT FOUND,0.3,proportional,Those who force it ruin it. Those who grasp it lose it.
29,3,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,Those who force it ruin it. Those who grasp it lose it.
29,4,為,wéi,為,do / handle / serve as,NOT FOUND,0.2,proportional-fill,Those who force it ruin it. Those who grasp it lose it.
29,5,為,Wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"Therefore, sometimes leading, sometimes following,"
29,6,物,wù,萬物,things / something,NOT FOUND,0.3,proportional,"Sometimes breathing heavily, sometimes breathing easily,"
29,8,強,qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,0.2,proportional-fill,"Sometimes strong, sometimes weak,"
30,1,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,One who rules in alignment with the Tao does not use military force to dominate the world.
30,2,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,Such undertakings tend to come back on you.
30,2,強,qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,0.3,proportional,Such undertakings tend to come back on you.
30,3,事,shì,事,"affairs / undertakings (noun) · to serve, to attend to (verb)",NOT FOUND,0.2,proportional-fill,Such undertakings tend to come back on you.
30,4,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,0.3,proportional,"Where armies camp, thorns and brambles grow."
30,5,有,yǒu,無 & 有,presence,NOT FOUND,0.2,proportional-fill,"Where armies camp, thorns and brambles grow."
30,6,善,Shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.3,proportional,"After a big military campaign, a year of disaster follows."
30,6,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"After a big military campaign, a year of disaster follows."
30,7,強,qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,0.3,proportional,The masterful one halts after succeeding and never pushes on to seize dominance.
30,7,敢,gǎn,敢,push / venture — the forward press to take,yes,0.3,proportional,The masterful one halts after succeeding and never pushes on to seize dominance.
30,12,強,qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,0.3,proportional,"When things reach their prime, they decay."
30,13,物,Wù,萬物,things / something,yes,0.2,proportional-fill,"When things reach their prime, they decay."
30,14,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,This is called not-Tao. Not-Tao comes to an early end.
30,15,道,dào,道,the Tao (left untranslated),NOT FOUND,0.2,proportional-fill,This is called not-Tao. Not-Tao comes to an early end.
31,1,器,qì,器,vessel / tool / implement,NOT FOUND,0.3,proportional,Understand that even the most finely-crafted weapons truly are instruments of ill omen.
31,2,物,wù,萬物,things / something,yes,0.3,proportional,Living things recoil from them.
31,3,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,Those who are with the Tao do not dwell among them.
31,3,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,Those who are with the Tao do not dwell among them.
31,5,用,yòng,無 & 有,use,yes,0.2,proportional-fill,"In times of peace, the sage chooses creation. When the military must be used, they choose destruction."
31,6,器,qì,器,vessel / tool / implement,yes,0.3,proportional,Weapons are tools of ill omen. They are not the tools of the sage.
31,7,器,qì,器,vessel / tool / implement,NOT FOUND,0.3,proportional,"When the circumstances are unavoidable, calm detachment is essential."
31,8,用,yòng,無 & 有,use,NOT FOUND,0.3,proportional,"Achieve victory, but don’t revel in it."
31,9,為,wéi,為,do / handle / serve as,yes,0.2,proportional-fill,"Achieve victory, but don’t revel in it."
31,13,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"The lieutenant general stands on the left, the supreme commander on the right,"
31,14,事,shì,事,"affairs / undertakings (noun) · to serve, to attend to (verb)",NOT FOUND,0.2,proportional-fill,"The lieutenant general stands on the left, the supreme commander on the right,"
31,14,事,shì,事,"affairs / undertakings (noun) · to serve, to attend to (verb)",NOT FOUND,0.2,proportional-fill,"The lieutenant general stands on the left, the supreme commander on the right,"
31,17,眾,zhòng,眾,the crowd / the many,NOT FOUND,0.3,proportional,A victory in battle should be treated like a funeral rite.
32,1,常,cháng,常,the ever-present / the abiding,NOT FOUND,0.3,proportional,"The Tao is ever nameless, uncarved."
32,1,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"The Tao is ever nameless, uncarved."
32,1,道,Dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"The Tao is ever nameless, uncarved."
32,2,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"Though small, nothing in the world can make it a subject."
32,2,樸,Pǔ,樸,uncarved wood / the uncarved,NOT FOUND,0.3,proportional,"Though small, nothing in the world can make it a subject."
32,3,侯,Hóu,王,ruler (inside 侯王),NOT FOUND,0.3,proportional,"If rulers hold it, the countless things align with it of themselves."
32,3,物,wù,萬物,things / something,yes,0.3,proportional,"If rulers hold it, the countless things align with it of themselves."
32,3,王,wáng,王,ruler / sovereign · to rule (verb),yes,0.3,proportional,"If rulers hold it, the countless things align with it of themselves."
32,3,萬,wàn,萬物,countless,yes,0.3,proportional,"If rulers hold it, the countless things align with it of themselves."
32,4,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,Sky and earth join together to send down sweet dew.
32,6,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Once there is cutting, there are names."
32,7,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Since names already exist, one must know when to stop."
32,9,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"In this world, with its high streams and valleys, the Tao is like the river and the deep sea."
32,9,道,dào,道,the Tao (left untranslated),NOT FOUND,0.3,proportional,"In this world, with its high streams and valleys, the Tao is like the river and the deep sea."
33,2,明,míng,明,clear-seeing / clarity,NOT FOUND,1.0,exact-count,One who knows themselves sees clearly.
33,3,力,lì,強,force,yes,1.0,exact-count,One who overcomes others has force.
33,3,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,One who overcomes others has force.
33,4,強,qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,1.0,exact-count,One who overcomes themselves is strong.
33,6,強,Qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,1.0,exact-count,One who forces themselves onward has will.
33,6,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,One who forces themselves onward has will.
34,1,道,dào,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,The great Tao overflows to the left and to the right.
34,2,恃,shì,恃,rely on — the heart putting its weight on something,NOT FOUND,1.0,exact-count,"The countless things rely on it to live, yet it refuses none."
34,2,物,wù,萬物,things / something,yes,1.0,exact-count,"The countless things rely on it to live, yet it refuses none."
34,2,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,1.0,exact-count,"The countless things rely on it to live, yet it refuses none."
34,2,萬,Wàn,萬物,countless,yes,1.0,exact-count,"The countless things rely on it to live, yet it refuses none."
34,3,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,It works without claiming to be the owner.
34,4,為,wéi,為,do / handle / serve as,NOT FOUND,1.0,exact-count,"The Tao clothes and nourishes the countless things, yet it claims no ownership."
34,4,物,wù,萬物,things / something,yes,1.0,exact-count,"The Tao clothes and nourishes the countless things, yet it claims no ownership."
34,4,萬,wàn,萬物,countless,yes,1.0,exact-count,"The Tao clothes and nourishes the countless things, yet it claims no ownership."
34,5,常,Cháng,常,the ever-present / the abiding,NOT FOUND,1.0,exact-count,"Ever desireless, it can be called small."
34,5,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"Ever desireless, it can be called small."
34,6,為,wéi,為,do / handle / serve as,NOT FOUND,1.0,exact-count,"The countless things return to it. Without acting as their master, it can be called great."
34,6,為,wéi,為,do / handle / serve as,NOT FOUND,1.0,exact-count,"The countless things return to it. Without acting as their master, it can be called great."
34,6,物,wù,萬物,things / something,yes,1.0,exact-count,"The countless things return to it. Without acting as their master, it can be called great."
34,6,萬,Wàn,萬物,countless,yes,1.0,exact-count,"The countless things return to it. Without acting as their master, it can be called great."
34,7,為,wéi,為,do / handle / serve as,NOT FOUND,1.0,exact-count,"It never makes itself great,"
35,1,天,tian,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,"Embody the great form, and the world routes to you."
35,4,無,wu,無 & 有,absence,NOT FOUND,1.0,exact-count,Attempt to speak the Tao. It is bland and flavorless.
35,4,道,Dao,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,Attempt to speak the Tao. It is bland and flavorless.
35,7,用,Yong,無 & 有,use,yes,1.0,exact-count,Use it. It is inexhaustible.
36,2,弱,ruò,弱,yielding — and *weaken* only where it takes an object,NOT FOUND,1.0,exact-count,Weakening requires firm strengthening.
36,2,強,qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,1.0,exact-count,Weakening requires firm strengthening.
36,5,明,míng,明,clear-seeing / clarity,yes,1.0,exact-count,This is called subtle clarity.
36,6,弱,ruò,弱,yielding — and *weaken* only where it takes an object,NOT FOUND,1.0,exact-count,The soft and yielding overcome the hard and strong.
36,6,強,qiáng,強,"strong — *strengthen* where it takes an object, *forcing* where it strains against a thing's nature",NOT FOUND,1.0,exact-count,The soft and yielding overcome the hard and strong.
36,8,利,lì,無 & 有,advantage,NOT FOUND,1.0,exact-count,The sharp instruments of the state must not be shown to others.
36,8,器,qì,器,vessel / tool / implement,NOT FOUND,1.0,exact-count,The sharp instruments of the state must not be shown to others.
37,1,常,cháng,常,the ever-present / the abiding,NOT FOUND,1.0,exact-count,"The Tao is ever non-doing, yet nothing is left undone."
37,1,為,wéi,為,do / handle / serve as,yes,1.0,exact-count,"The Tao is ever non-doing, yet nothing is left undone."
37,1,為,wéi,為,do / handle / serve as,yes,1.0,exact-count,"The Tao is ever non-doing, yet nothing is left undone."
37,1,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"The Tao is ever non-doing, yet nothing is left undone."
37,1,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"The Tao is ever non-doing, yet nothing is left undone."
37,1,道,Dào,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,"The Tao is ever non-doing, yet nothing is left undone."
37,2,侯,Hóu,王,ruler (inside 侯王),NOT FOUND,1.0,exact-count,"If rulers are able to hold to this, the countless things will transform of themselves."
37,2,物,wù,萬物,things / something,yes,1.0,exact-count,"If rulers are able to hold to this, the countless things will transform of themselves."
37,2,王,wáng,王,ruler / sovereign · to rule (verb),yes,1.0,exact-count,"If rulers are able to hold to this, the countless things will transform of themselves."
37,2,萬,wàn,萬物,countless,yes,1.0,exact-count,"If rulers are able to hold to this, the countless things will transform of themselves."
37,3,吾,wú,我 & 吾,the self seeing,NOT FOUND,1.0,exact-count,"When the countless things urge action, I will stabilize them with the nameless uncarved wood."
37,3,樸,pǔ,樸,uncarved wood / the uncarved,yes,1.0,exact-count,"When the countless things urge action, I will stabilize them with the nameless uncarved wood."
37,3,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"When the countless things urge action, I will stabilize them with the nameless uncarved wood."
37,4,樸,pǔ,樸,uncarved wood / the uncarved,yes,1.0,exact-count,The nameless uncarved wood is without desire.
37,4,無,Wú,無 & 有,absence,NOT FOUND,1.0,exact-count,The nameless uncarved wood is without desire.
37,4,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,The nameless uncarved wood is without desire.
37,5,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,"Relinquishing desire, being still, the world rights itself."
38,1,德,dé,德,integrity,yes,0.3,proportional,"The highest integrity does not do integrity, and so it has integrity."
38,1,德,dé,德,integrity,yes,0.3,proportional,"The highest integrity does not do integrity, and so it has integrity."
38,1,德,dé,德,integrity,yes,0.3,proportional,"The highest integrity does not do integrity, and so it has integrity."
38,1,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"The highest integrity does not do integrity, and so it has integrity."
38,2,德,dé,德,integrity,yes,0.3,proportional,"The lowest integrity does not lose integrity, and so it has none."
