character,pinyin,gloss,our_render,shuowen_headword,matched_by,shuowen_section,construction,fanqie_middle_chinese,semantic_parts,phonetic_parts,occurrences,tier,centrality,shuowen_definition_chinese,shuowen_definition_english
虛,xū,empty,,虛,exact,丘,phonetic-compound,,丘 (? = not yet glossed),虍 (? = not yet glossed),5,,0.0402,大丘也。崐崘丘謂之崐崘虛。古者九夫爲井，四井爲邑，四邑爲丘。丘謂之虛。从丘虍聲。,
貨,huò,goods/wealth,,貨,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",化 (huà = not yet glossed),5,,0.0402,財也。从貝化聲。,
且,qiě,long-lasting and,,且,exact,且,compound,,"几 (jī = a low table, a stool)",,5,,0.0395,薦也。从几，足有二橫，一其下地也。凡且之屬皆从且。,
容,róng,,,容,exact,宀,compound,,宀 (mián = a roof; under a house),,5,,0.0393,盛也。从宀、谷。,
寡,guǎ,diminish,,寡,exact,宀,compound,,宀 (mián = a roof; under a house) + 頒 (? = not yet glossed),,5,,0.0391,少也。从宀从頒。頒，分賦也，故爲少。,
幾,jī,it is close/near,,幾,exact,𢆶,compound,,𢆶 (? = not yet glossed) + 戍 (? = not yet glossed),,4,,0.0391,微也。殆也。从𢆶从戍。戍，兵守也。𢆶而兵守者，危也。,
象,xiàng,,,象,exact,象,pictograph,,,,5,,0.0391,長鼻牙，南越大獸，三秊一乳，象耳牙四足之形。凡象之屬皆从象。,
慈,cí,tenderness,tenderness,慈,exact,心,phonetic-compound,,心 (xīn = heart),兹 (? = not yet glossed),7,locked,0.0389,愛也。从心兹聲。,
辱,rǔ,,,辱,exact,辰,compound,,寸 (cùn = not yet glossed) + 在 (zài = place in) + 辰 (? = not yet glossed) + 下 (xià = ),,6,,0.0385,恥也。从寸在辰下。失耕時，於封畺上戮之也。辰者，農之時也。故房星爲辰，田候也。,
牝,pìn,female,,牝,exact,牛,phonetic-compound,,牛 (niú = an ox),"匕 (bǐ = a spoon, a ladle)",5,,0.0384,畜母也。从牛匕聲。易曰：“畜牝牛，吉。”,
遠,yuǎn,,,遠,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",袁 (? = not yet glossed),5,,0.0382,遼也。从辵袁聲。,
害,hai,,,害,exact,宀,phonetic-compound,,宀 (mián = a roof; under a house) + 口 (kǒu = mouths),丯 (? = not yet glossed),5,,0.038,傷也。从宀从口。宀、口，言从家起也。丯聲。,
殆,dài,danger/exhaustion,,殆,exact,歺,phonetic-compound,,"歺 (è = splintered bone — death, decay)",台 (? = not yet glossed),5,,0.038,危也。从歺台聲。,
門,mén,,,門,exact,門,compound,,二 (èr = not yet glossed) + 戶 (hù = doors),,5,,0.038,聞也。从二戶。象形。凡門之屬皆从門。,
堅,jiān,,,堅,exact,臤,compound,,臤 (? = not yet glossed) + 土 (tǔ = not yet glossed),,4,,0.0371,剛也。从臤从土。,
保,bǎo,,,保,exact,人,compound,,人 (rén = ) + 𤓽 (? = not yet glossed),,4,,0.0369,養也。从人，从𤓽省。𤓽，古文孚。,
厭,yàn,,,厭,exact,厂,phonetic-compound,,"厂 (hǎn = a cliff, an overhang)",猒 (? = not yet glossed),5,,0.0363,笮也。从厂猒聲。一曰合也。,
止,zhǐ,stopping point,,止,exact,止,pictograph,,,,5,,0.0361,下基也。象艸木出有址，故以止爲足。凡止之屬皆从止。,
入,rù,,,入,exact,入,pictograph,,,,4,,0.036,内也。象从上俱下也。凡入之屬皆从入。,
獨,dú,alone,,獨,exact,犬,phonetic-compound,,犬 (quǎn = not yet glossed),蜀 (shǔ = a caterpillar),7,,0.0359,犬相得而鬬也。从犬蜀聲。羊爲羣，犬爲獨也。一曰北嚻山有獨𤞞獸，如虎，白身，豕鬣，尾如馬。,
亂,luàn,,,亂,exact,乙,compound,,乙 (? = not yet glossed) + 𤔔 (? = not yet glossed),,4,,0.0358,治也。从乙，乙，治之也；从𤔔。,
及,Jí,,,及,exact,又,compound,,又 (yòu = not yet glossed) + 人 (rén = ),,4,,0.0358,逮也。从又从人。,
棄,qì,abandon,,棄,exact,𠦒,compound,,廾 (gǒng = two hands raised together) + 推 (tuī = not yet glossed) + 𠦒 (? = not yet glossed) + 棄 (qì = abandon) + 之 (zhī = it) + 𠫓 (? = not yet glossed),,6,,0.0354,捐也。从廾推𠦒棄之，从𠫓。𠫓，逆子也。,
過,guo,,,過,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",咼 (? = not yet glossed),4,,0.035,度也。从辵咼聲。,
反,fǎn,returning/reverting,,反,exact,又,compound,,又 (yòu = not yet glossed),,4,Tier 3,0.0347,覆也。从又，厂反形。,
亡,wáng,perish,,亡,exact,亡,compound,,人 (rén = ) + 乚 (? = not yet glossed),,4,,0.0339,逃也。从人从乚。凡亡之屬皆从亡。,
繩,Shéng,,,繩,exact,糸,phonetic-compound,,糸 (mì = silk thread),蠅 (? = not yet glossed),4,,0.0339,索也。从糸，蠅省聲。,
少,Shǎo,,,少,exact,小,phonetic-compound,,小 (xiǎo = small),丿 (piě = a stroke slanting left),4,,0.0337,不多也。从小丿聲。,
微,wēi,,,微,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),𢼸 (? = not yet glossed),4,,0.0337,隱行也。从彳𢼸聲。春秋傳曰：“白公其徒微之。”,
盜,dào,thieves,,盜,exact,㳄,compound,,㳄 (? = not yet glossed),,4,,0.0337,私利物也。从㳄，㳄欲皿者。,
禮,lǐ,,,禮,exact,示,phonetic-compound,靈啓切,示 (shì = not yet glossed) + 豊 (? = not yet glossed),豊 (? = not yet glossed),5,,0.0332,履也，所以事神致福也。从示，从豊，豊亦聲。,
病,bìng,,,病,exact,疒,phonetic-compound,,疒 (nè = a person on a sickbed — illness),丙 (? = not yet glossed),9,,0.0331,疾加也。从疒丙聲。,
教,jiào,,,教,exact,教,compound,,攴 (pū = a hand striking — action done to something) + 孝 (xiào = devotion),,5,,0.033,上所施下所效也。从攴从孝。凡教之屬皆从教。,
清,qīng,make it clear,,清,exact,水,phonetic-compound,,水 (shuǐ = water),"青 (qīng = blue-green, the colour of growing things)",4,,0.0328,朖也。澂水之皃。从水青聲。,
禍,Huò,,,禍,exact,示,phonetic-compound,胡果切,示 (shì = not yet glossed),咼 (? = not yet glossed),4,,0.0328,害也，神不福也。从示，咼聲。,
軍,jūn,army/campaign,,軍,exact,車,compound,,車 (chē = not yet glossed) + 包 (? = not yet glossed),,4,,0.0328,圜圍也。四千人爲軍。从車，从包省。軍，兵車也。,
海,hǎi,sea,,海,exact,水,phonetic-compound,,水 (shuǐ = water),每 (? = not yet glossed),3,,0.0325,天池也。以納百川者。从水每聲。,
玉,yù,jade,,玉,exact,玉,pictograph,魚欲切,,,3,,0.0325,石之美。有五德：潤澤以溫，仁之方也；䚡理自外，可以知中，義之方也；其聲舒揚，尃以遠聞，智之方也；不橈而折，勇之方也；銳廉而不技，絜之方也。象三玉之連，丨其貫也。凡玉之屬皆从玉。,
離,lí,,,離,exact,隹,phonetic-compound,,隹 (zhuī = a short-tailed bird),离 (? = not yet glossed),3,,0.0325,黃倉庚也。鳴則蠶生。从隹离聲。,
敗,bài,ruin,,敗,exact,攴,compound,,攴 (pū = a hand striking — action done to something),,5,,0.0322,毀也。从攴、貝。敗、賊皆从貝，會意。,
義,yì,righteousness,,義,exact,我,compound,,我 (Wǒ = the self seen),,5,,0.0319,己之威儀也。從我、羊。,
救,jiù,,,救,exact,攴,phonetic-compound,,攴 (pū = a hand striking — action done to something),求 (qiú = not yet glossed),4,,0.0317,止也。从攴求聲。,
高,gāo,,,高,exact,高,compound,,"冂 (jiōng = the far borders, open country)",,4,,0.0317,崇也。象臺觀高之形。从冂、口。與倉、舍同意。凡高之屬皆从高。,
存,cún,,,存,exact,子,phonetic-compound,,子 (zǐ = not yet glossed),才 (cái = a sprout breaking the ground),4,,0.0315,恤問也。从子才聲。,
志,zhì,,,志,exact,心,phonetic-compound,,心 (xīn = heart),之 (zhī = it),3,,0.0315,意也。从心之聲。,
姓,xìng,surnames/people,,姓,exact,女,phonetic-compound,,女 (nǚ = a woman) + 生 (shēng = give birth to / bear / bring forth),生 (shēng = give birth to / bear / bring forth),4,,0.0306,人所生也。古之神聖母，感天而生子，故稱天子。从女从生，生亦聲。《春秋傳》曰：“天子因生以賜姓。”,
目,mù,eyes,,目,exact,目,pictograph,,,,3,,0.0306,人眼。象形。重童子也。凡目之屬皆从目。,
合,hé,,,合,exact,亼,compound,,亼 (jí = to gather together) + 口 (kǒu = mouths),,3,,0.0304,合口也。从亼从口。,
開,kāi,,,開,exact,門,compound,,門 (mén = ) + 幵 (? = not yet glossed),,3,,0.0304,張也。从門从幵。,
傷,shāng,,,傷,exact,人,phonetic-compound,,人 (rén = ),𥏻 (? = not yet glossed),5,,0.03,創也。从人，𥏻省聲。,
士,shì,scholars/officers,,士,exact,士,compound,鉏里切,一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts) + 十 (shí = not yet glossed),,5,,0.0298,事也。數始於一，終於十。从一从十。孔子曰：「推十合一爲士。」凡士之屬皆从士。,
式,shì,model/pattern,,式,exact,工,phonetic-compound,,"工 (gōng = a carpenter's square — work, craft)",弋 (yì = a stake; a tethered arrow),5,,0.0298,法也。从工弋聲。,
奇,jī,,,奇,exact,可,compound,,大 (dà = ) + 可 (kě = ),,4,,0.0295,異也。一曰不耦。从大从可。,
尚,shàng,still,,尚,exact,八,phonetic-compound,,"八 (bā = eight; to divide, to part)",向 (? = not yet glossed),4,,0.0295,曾也。庶幾也。从八向聲。,
服,Fú,,,服,exact,舟,phonetic-compound,,舟 (zhōu = not yet glossed),𠬝 (? = not yet glossed),4,,0.0295,用也。一曰車右騑，所以舟旋。从舟𠬝聲。,
四,sì,four,,四,exact,四,pictograph,,,,3,,0.0293,陰數也。象四分之形。凡四之屬皆从四。,
邪,xié,,,邪,exact,邑,phonetic-compound,,"邑 (yì = a settlement, a town)",牙 (? = not yet glossed),3,,0.0293,琅邪郡。从邑牙聲。,
右,yòu,,,右,exact,口,compound,,口 (kǒu = mouths) + 又 (yòu = not yet glossed),,4,,0.0287,助也。从口从又。,
家,jiā,family/nation,,家,exact,宀,phonetic-compound,,宀 (mián = a roof; under a house),豭 (? = not yet glossed),5,,0.0287,居也。从宀，豭省聲。,
敵,dí,,,敵,exact,攴,phonetic-compound,,攴 (pū = a hand striking — action done to something),啻 (? = not yet glossed),4,,0.0287,仇也。从攴啻聲。,
早,zǎo,,,早,exact,日,compound,,日 (rì = day) + 在 (zài = place in) + 甲 (jiǎ = not yet glossed) + 上 (Shàng = ),,4,,0.0285,晨也。从日在甲上。,
畜,xù,nourishing/rearing,,畜,exact,田,unanalysed,,,,4,,0.0285,田畜也。《淮南子》曰：“玄田爲畜。”,
祥,xiáng,,,祥,exact,示,phonetic-compound,似羊切,示 (shì = not yet glossed),羊 (yáng = a sheep),4,,0.0285,福也。从示，羊聲。一云善。,
水,shuǐ,water,,水,exact,水,pictograph,,,,3,,0.0284,凖也。北方之行。象眾水並流，中有微陽之气也。凡水之屬皆从水。,
今,jīn,,,今,exact,亼,compound,,亼 (jí = to gather together) + 乁 (? = not yet glossed),,3,,0.0282,是時也。从亼从乁。乁，古文及。,
光,guāng,,,光,exact,火,compound,,火 (huǒ = fire) + 在 (zài = place in) + 人 (rén = ) + 上 (Shàng = ),,4,,0.0282,明也。从火在人上，光明意也。,
寶,bǎo,,,寶,exact,宀,phonetic-compound,,"宀 (mián = a roof; under a house) + 王 (wáng = ruler / sovereign · to rule (verb)) + 貝 (bèi = a cowrie shell — money, worth)",缶 (fǒu = an earthenware jar),3,,0.0282,珍也。从宀从王从貝，缶聲。,
氣,qì,vital breath,,氣,exact,米,phonetic-compound,,米 (mǐ = grains of rice),气 (? = not yet glossed),3,Tier 3,0.0282,饋客芻米也。从米气聲。《春秋傳》曰：“齊人來氣諸矦。”,
深,Shēn,So deep,,深,exact,水,phonetic-compound,,水 (shuǐ = water),罙 (? = not yet glossed),3,,0.0282,水。出桂陽南平，西入營道。从水罙聲。,
混,hùn,,,混,exact,水,phonetic-compound,,水 (shuǐ = water),昆 (? = not yet glossed),3,Tier 3,0.0282,豐流也。从水昆聲。,
隨,suí,,,隨,exact,辵,phonetic-compound,,"也 (yě = particle) + 辵 (chuò = walking, going along a road)",𡐦 (? = not yet glossed),3,,0.0282,从也。从辵，𡐦省聲。,
公,gōng,impartiality / impartial (the quality) · lord / minister (the office),impartiality / impartial (the quality) · lord / minister (the office),公,exact,八,compound,,"八 (bā = eight; to divide, to part) + 厶 (sī = enclosing for oneself — the private)",,4,locked,0.0274,平分也。从八从厶。八猶背也。韓非曰：背厶爲公。,
味,wèi,flavors/tastes,,味,exact,口,phonetic-compound,,口 (kǒu = mouths),未 (wèi = ),4,,0.0274,滋味也。从口未聲。,
馬,mǎ,,,馬,exact,馬,pictograph,,,,3,,0.0274,怒也。武也。象馬頭髦尾四足之形。凡馬之屬皆从馬。,
兒,ér,,,兒,exact,-{儿}-,pictograph,,,,3,,0.0271,孺子也。从-{儿}-，象小兒頭囟未合。,
前,qián,,,前,exact,止,compound,,止 (zhǐ = stopping point) + 在 (zài = place in) + 舟 (zhōu = not yet glossed) + 上 (Shàng = ),,3,,0.0271,不行而進謂之歬。从止在舟上。,
嬰,yīng,,,嬰,exact,女,compound,,女 (nǚ = a woman),,3,,0.0271,頸飾也。从女、賏。賏，其連也。,
愚,yú,,,愚,exact,心,compound,,心 (xīn = heart) + 禺 (? = not yet glossed),,3,,0.0271,戇也。从心从禺。禺，猴屬，獸之愚者。,
解,jiě,untied,,解,exact,角,compound,,刀 (dāo = a knife) + 判 (? = not yet glossed) + 牛 (niú = an ox) + 角 (jiǎo = not yet glossed),,3,,0.0271,判也。从刀判牛角。一曰解𢊁，獸也。,
遺,yí,be left behind/lacking,,遺,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",䝿 (? = not yet glossed),3,,0.0271,亾也。从辵䝿聲。,
閉,bì,closing,,閉,exact,門,compound,,門 (mén = ),,3,,0.0271,闔門也。从門；才，所以歫門也。,
音,yīn,tones/notes,,音,exact,音,compound,,言 (yán = ) + 含 (Hán = not yet glossed) + 一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts),,3,,0.0271,聲也。生於心，有節於外，謂之音。宮商角徵羽，聲；絲竹金石匏土革木，音也。从言含一。凡音之屬皆从音。,
勇,yǒng,,,勇,exact,力,phonetic-compound,,力 (lì = force),甬 (? = not yet glossed),4,,0.0265,气也。从力甬聲。,
木,mù,,,木,exact,木,compound,,屮 (? = not yet glossed),,3,,0.0263,冒也。冒地而生。東方之行。从屮，下象其根。凡木之屬皆从木。,
在,zài,place in,,在,exact,土,phonetic-compound,,土 (tǔ = not yet glossed),才 (cái = a sprout breaking the ground),3,,0.0261,存也。从土才聲。,
巧,qiǎo,skill/cunning,,巧,exact,工,phonetic-compound,,"工 (gōng = a carpenter's square — work, craft)",丂 (? = not yet glossed),3,,0.0261,技也。从工丂聲。,
從,cóng,,,從,exact,从,compound,,"辵 (chuò = walking, going along a road)",,3,,0.0261,隨行也。从辵、从，从亦聲。,
戰,zhàn,,,戰,exact,戈,phonetic-compound,,戈 (gē = a dagger-axe),單 (? = not yet glossed),3,,0.0261,鬬也。从戈單聲。,
立,lì,,,立,exact,立,compound,,大 (dà = ) + 立 (lì = ) + 一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts) + 之 (zhī = it) + 上 (Shàng = ),,3,,0.0261,住也。从大立一之上。凡立之屬皆从立。,
聲,shēng,,,聲,exact,耳,phonetic-compound,,耳 (ěr = ears),殸 (? = not yet glossed),3,,0.0261,音也。从耳殸聲。殸，籒文磬。,
賢,xián,,,賢,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",臤 (? = not yet glossed),3,,0.0261,多才也。从貝臤聲。,
進,jìn,,,進,exact,辵,phonetic-compound,,"辵 (chuò = walking, going along a road)",閵 (? = not yet glossed),3,,0.0261,登也。从辵，閵省聲。,
弗,fú,,,弗,exact,丿,compound,,丿 (piě = a stroke slanting left) + 乀 (? = not yet glossed) + 韋 (? = not yet glossed),,5,,0.0259,撟也。从丿从乀，从韋省。,
喪,sàng,,,喪,exact,哭,phonetic-compound,,哭 (? = not yet glossed) + 亾 (? = not yet glossed),亾 (? = not yet glossed),3,,0.0252,亾也。从哭从亾。會意。亾亦聲。,
積,jī,,,積,exact,禾,phonetic-compound,,禾 (hé = standing grain),責 (zé = not yet glossed),3,,0.0252,聚也。从禾責聲。,
賤,jiàn,,,賤,exact,貝,phonetic-compound,,"貝 (bèi = a cowrie shell — money, worth)",戔 (? = not yet glossed),3,,0.0252,賈少也。从貝戔聲。,
伐,fá,,,伐,exact,人,compound,,人 (rén = ) + 持 (Chí = Holding/grasping) + 戈 (gē = a dagger-axe),,3,,0.025,擊也。从人持戈。一曰敗也。,
凶,xiōng,,,凶,exact,凶,pictograph,,,,3,,0.025,惡也。象地穿交陷其中也。凡凶之屬皆从凶。,
好,hào,prone to/tend to,,好,exact,女,compound,,女 (nǚ = a woman),,3,,0.025,美也。从女、子。,
客,kè,guest,,客,exact,宀,phonetic-compound,,宀 (mián = a roof; under a house),各 (Gè = Each),3,,0.025,寄也。从宀各聲。,
富,fù,,,富,exact,宀,phonetic-compound,,宀 (mián = a roof; under a house),畐 (? = not yet glossed),3,,0.025,備也。一曰厚也。从宀畐聲。,
形,xíng,,,形,exact,彡,phonetic-compound,,彡 (shān = fine hair; ornamental strokes),幵 (? = not yet glossed),3,,0.025,象形也。从彡幵聲。,
彰,zhāng,prominent/manifest,,彰,exact,彡,phonetic-compound,,彡 (shān = fine hair; ornamental strokes) + 章 (? = not yet glossed),章 (? = not yet glossed),3,,0.025,文彰也。从彡从章，章亦聲。,
沖,chōng,,,沖,exact,水,compound,,水 (shuǐ = water),,3,,0.025,涌搖也。从水、中。讀若動。,
淵,Yuān,good at depth/abyss,,淵,exact,水,compound,,水 (shuǐ = water),,3,,0.025,回水也。从水，象形。左右，岸也。中象水皃。,
白,bái,white/light,,白,exact,白,compound,,入 (rù = not yet glossed) + 合 (hé = not yet glossed) + 二 (èr = not yet glossed),,3,,0.025,西方色也。陰用事，物色白。从入合二。二，陰數。凡白之屬皆从白。,
直,zhí,straight,,直,exact,乚,compound,,乚 (? = not yet glossed) + 十 (shí = not yet glossed) + 目 (mù = eyes),,3,,0.025,正見也。从乚从十从目。,
真,zhēn,real/true,,眞,old-form,𠤎,compound,,𠤎 (? = not yet glossed) + 目 (mù = eyes) + 乚 (? = not yet glossed),,3,,0.025,僊人變形而登天也。从𠤎从目从乚；八，所乘載也。,
視,Shì,Looking at,,視,exact,見,compound,,見 (jiàn = ),,3,,0.025,瞻也。从見、示。,
江,jiāng,,,江,exact,水,phonetic-compound,,水 (shuǐ = water),"工 (gōng = a carpenter's square — work, craft)",2,,0.0249,水。出蜀湔氐徼外崏山，入海。从水工聲。,
結,jié,tying/knotting,,結,exact,糸,phonetic-compound,,糸 (mì = silk thread),吉 (Jí = not yet glossed),2,,0.0249,締也。从糸吉聲。,
被,pèi,,,被,exact,衣,phonetic-compound,,衣 (Yī = not yet glossed),皮 (? = not yet glossed),2,,0.0249,𡪢衣，長一身有半。从衣皮聲。,
法,fǎ,models/follows the law of,,灋,old-form,𢊁,compound,,水 (shuǐ = water) + 去 (qù = ),,5,,0.0246,刑也。平之如水，从水；𢊁，所以觸不直者；去之，从去。,
司,sī,,,司,exact,司,compound,,反 (fǎn = returning/reverting) + 后 (? = not yet glossed),,4,,0.0243,臣司事於外者。从反后。凡司之屬皆从司。,
絕,Jué,,,絕,exact,糸,compound,,糸 (mì = silk thread) + 刀 (dāo = a knife) + 卩 (jié = a kneeling person),,4,,0.0243,斷絲也。从糸从刀从卩。,
命,mìng,destiny/the system's command,,命,exact,口,compound,,口 (kǒu = mouths) + 令 (lìng = cause),,3,,0.0241,使也。从口从令。,
建,jiàn,,,建,exact,廴,compound,,聿 (? = not yet glossed) + 廴 (? = not yet glossed),,3,,0.0241,立朝律也。从聿从廴。,
昏,hūn,,,昏,exact,日,compound,,日 (rì = day) + 氐 (? = not yet glossed),,4,,0.0241,日冥也。从日氐省。氐者，下也。一曰民聲。,
本,běn,root/foundation,,本,exact,木,compound,,木 (mù = not yet glossed),,3,,0.0241,木下曰本。从木，一在其下。,
狀,zhuàng,shape/form,,狀,exact,犬,phonetic-compound,,犬 (quǎn = not yet glossed),爿 (? = not yet glossed),3,,0.0241,犬形也。从犬爿聲。,
私,sī,the private / the private self,the private / the private self,私,exact,禾,phonetic-compound,,禾 (hé = standing grain),厶 (sī = enclosing for oneself — the private),3,locked,0.0241,禾也。从禾厶聲。北道名禾主人曰私主人。,
果,guǒ,,,果,exact,木,compound,,木 (mù = not yet glossed),,6,,0.024,木實也。从木，象果形在木之上。,
勤,qín,it is not exhausted/toilsome,,勤,exact,力,phonetic-compound,,力 (lì = force),𡏳 (? = not yet glossed),3,,0.0239,勞也。从力𡏳聲。,
夷,yí,invisible/colorless,,夷,exact,大,compound,,大 (dà = ) + 弓 (gōng = not yet glossed),,3,,0.0239,平也。从大从弓。東方之人也。,
持,Chí,Holding/grasping,,持,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),寺 (? = not yet glossed),3,,0.0239,握也。从手寺聲。,
牡,mǔ,,,牡,exact,牛,phonetic-compound,,牛 (niú = an ox),土 (tǔ = not yet glossed),2,,0.0239,畜父也。从牛土聲。,
矜,jīn,,,矜,exact,矛,phonetic-compound,,矛 (? = not yet glossed),今 (jīn = ),3,,0.0239,矛柄也。从矛今聲。,
細,xì,,,細,exact,糸,phonetic-compound,,糸 (mì = silk thread),囟 (? = not yet glossed),3,,0.023,微也。从糸囟聲。,
川,chuān,river,,川,exact,川,unanalysed,,,,2,,0.0228,貫穿通流水也。《虞書》曰：“濬𡿨巜，距川。”言深𡿨巜之水會爲川也。凡川之屬皆从川。,
老,lǎo,age/decay,,老,exact,老,compound,,人 (rén = ),,3,,0.0228,考也。七十曰老。从人、毛、匕。言須髮變白也。凡老之屬皆从老。,
耳,ěr,ears,,耳,exact,耳,pictograph,,,,2,,0.0228,主聽也。象形。凡耳之屬皆从耳。,
賊,zéi,robbers,,賊,exact,戈,phonetic-compound,,戈 (gē = a dagger-axe),則 (zé = then/thus),3,,0.0228,敗也。从戈則聲。,
廣,Guǎng,,,廣,exact,广,phonetic-compound,,广 (yǎn = a shelter built against a bank),黃 (? = not yet glossed),3,,0.0219,殿之大屋也。从广黃聲。,
割,gē,cut/carve,,割,exact,刀,phonetic-compound,,刀 (dāo = a knife),害 (hai = not yet glossed),2,,0.0217,剥也。从刀害聲。,
各,Gè,Each,,各,exact,口,compound,,口 (kǒu = mouths),,2,,0.0217,異辭也。从口、夊。夊者，有行而止之，不相聽也。,
方,fāng,,,方,exact,方,pictograph,,,,2,,0.0217,併船也。象兩舟省、緫頭形。凡方之屬皆从方。,
銳,ruì,sharpening,,銳,exact,金,phonetic-compound,,金 (Jīn = Gold),兌 (duì = not yet glossed),3,,0.0217,芒也。从金兌聲。,
患,huàn,,,患,exact,心,phonetic-compound,,心 (xīn = heart) + 上 (Shàng = ) + 貫 (? = not yet glossed) + 吅 (? = not yet glossed),吅 (? = not yet glossed),4,,0.0213,憂也。从心上貫吅，吅亦聲。,
十,shí,,,十,exact,十,unanalysed,,,,4,,0.0211,數之具也。一爲東西，丨爲南北，則四方中央備矣。凡十之屬皆从十。,
化,huà,,,化,exact,𠤎,phonetic-compound,,𠤎 (? = not yet glossed) + 人 (rén = ),𠤎 (? = not yet glossed),3,,0.0209,教行也。从𠤎从人，𠤎亦聲。,
師,shī,teacher/master,,師,exact,帀,compound,,帀 (? = not yet glossed) + 𠂤 (? = not yet glossed),,3,,0.0209,二千五百人爲師。从帀从𠂤。𠂤，四帀，眾意也。,
怨,yuàn,,,怨,exact,心,phonetic-compound,,心 (xīn = heart),夗 (? = not yet glossed),3,,0.0209,恚也。从心夗聲。,
精,jīng,vital essence / essence,vital essence / essence,精,exact,米,phonetic-compound,,米 (mǐ = grains of rice),"青 (qīng = blue-green, the colour of growing things)",3,Tier 3,0.0209,擇也。从米青聲。,
彼,bǐ,that,,彼,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),皮 (? = not yet glossed),3,,0.0206,往，有所加也。从彳皮聲。,
應,yìng,,,應,exact,心,phonetic-compound,,心 (xīn = heart),𤸰 (? = not yet glossed),2,,0.0206,當也。从心𤸰聲。,
挫,Cuò,supported/safe,,挫,exact,手,phonetic-compound,,手 (shǒu = not yet glossed),𡋲 (? = not yet glossed),3,,0.0206,摧也。从手𡋲聲。,
文,wén,culture/adornment,,文,exact,文,pictograph,,,,2,,0.0206,錯畫也。象交文。凡文之屬皆从文。,
腹,fù,belly,belly,腹,exact,肉,phonetic-compound,,肉 (ròu = flesh),复 (? = not yet glossed),2,locked,0.0206,厚也。从肉复聲。,
養,yǎng,,,養,exact,食,phonetic-compound,,食 (shí = ),羊 (yáng = a sheep),2,,0.0206,供養也。从食羊聲。,
驚,jīng,alarm,,驚,exact,馬,phonetic-compound,,馬 (mǎ = not yet glossed),敬 (? = not yet glossed),5,,0.0205,馬駭也。从馬敬聲。,
五,Wǔ,Five,,五,exact,五,compound,,二 (èr = not yet glossed),,3,,0.02,五行也。从二，陰陽在天地閒交午也。凡五之屬皆从五。,
往,wang,,,往,exact,彳,phonetic-compound,,彳 (chì = a step taken; going),㞷 (? = not yet glossed),3,,0.0198,之也。从彳㞷聲。,
福,fú,,,福,exact,示,phonetic-compound,方六切,示 (shì = not yet glossed),畐 (? = not yet glossed),3,,0.0198,祐也。从示，畐聲。,
識,shí,,,識,exact,言,phonetic-compound,,言 (yán = ),戠 (? = not yet glossed),3,,0.0198,常也。一曰知也。从言戠聲。,
譽,yù,praise,,譽,exact,言,phonetic-compound,,言 (yán = ),與 (yǔ = ),3,,0.0198,稱也。从言與聲。,
恐,kǒng,,,恐,exact,心,phonetic-compound,,心 (xīn = heart),𢀜 (? = not yet glossed),6,,0.0196,懼也。从心𢀜聲。,
力,lì,force,force,力,exact,力,pictograph,,,,2,locked,0.0195,筋也。象人筋之形。治功曰力，能圉大災。凡力之屬皆从力。,
口,kǒu,mouths,,口,exact,口,pictograph,,,,2,,0.0195,人所以言食也。象形。凡口之屬皆从口。,
咎,jiù,disaster/blame,,咎,exact,人,compound,,人 (rén = ) + 各 (Gè = Each),,2,,0.0195,災也。从人从各。各者，相違也。,
奈,Nài,,,柰,orthographic,木,phonetic-compound,,木 (mù = not yet glossed),示 (shì = not yet glossed),2,,0.0195,果也。从木示聲。,
新,xīn,,,新,exact,斤,phonetic-compound,,斤 (jīn = an axe),新 (xīn = ),2,,0.0195,取木也。从斤新聲。,
異,yì,am different,,異,exact,異,compound,,廾 (gǒng = two hands raised together) + 畀 (? = not yet glossed),,2,,0.0195,分也。从廾从畀。畀，予也。凡異之屬皆从異。,
脫,tuō,,,脫,exact,肉,phonetic-compound,,肉 (ròu = flesh),兌 (duì = not yet glossed),2,,0.0195,消肉臞也。从肉兌聲。,
謀,móu,,,謀,exact,言,phonetic-compound,,言 (yán = ),某 (? = not yet glossed),2,,0.0195,慮難曰謀。从言某聲。,
馳,Chí,,,馳,exact,馬,phonetic-compound,,馬 (mǎ = not yet glossed),也 (yě = particle),2,,0.0195,大驅也。从馬也聲。,
騁,chěng,,,騁,exact,馬,phonetic-compound,,馬 (mǎ = not yet glossed),甹 (? = not yet glossed),2,,0.0195,直馳也。从馬甹聲。,
骨,gǔ,,,骨,exact,骨,compound,,冎 (? = not yet glossed) + 有 (yǒu = presence) + 肉 (ròu = flesh),,2,,0.0195,肉之覈也。从冎有肉。凡骨之屬皆从骨。,
