chapter,line,block,chinese,pinyin,literal_gloss,our_english,alignment_method
15,9,2,渙兮其若冰之將釋；,Huàn xī qí ruò bīng zhī jiāng shì;,Yielding/melting \[huan\] oh \[xi\]\! Like \[ruo\] ice \[bing\] that is about to \[jiang\] melt/thaw \[shi\];,"Sturdy, like uncarved wood.",proportional
15,10,2,敦兮其若樸；,Dūn xī qí ruò pǔ;,Solid/genuine \[dun\] oh \[xi\]\! Like \[ruo\] the uncarved wood \[pu\];,"Expansive, like a valley.",proportional
15,11,2,曠兮其若谷；,Kuàng xī qí ruò gǔ;,Broad/expansive \[kuang\] oh \[xi\]\! Like \[ruo\] a valley \[gu\];,"Mixed, like muddy water.",proportional
15,12,2,混兮其若濁。,Hùn xī qí ruò zhuó.,Blended/undifferentiated \[hun\] oh \[xi\]\! Like \[ruo\] murky/muddy water \[zhuo\].,"Who can be like muddy water, then sit and gradually become clear?",proportional
15,13,3,孰能濁以靜之徐清？,Shú néng zhuó yǐ jìng zhī xú qīng?,Who \[shu\] can \[neng\] take the murky \[zhuo\] and by \[yi\] stilling \[jing\] it \[zhi\] slowly \[xu\] make it clear \[qing\]?,"Who can be still, then move in ways that gradually stir life?",proportional
15,14,3,孰能安以動之徐生？,Shú néng ān yǐ dòng zhī xú shēng?,Who \[shu\] can \[neng\] take the calm/at rest \[an\] and by \[yi\] moving/stirring \[dong\] it \[zhi\] slowly \[xu\] bring it to life/generate \[sheng\]?,One who holds the Tao has no desire to be full.,proportional
15,15,4,保此道者不欲盈。,Bǎo cǐ dào zhě bù yù yíng.,Those who guard/preserve \[bao\] this \[ci\] Tao \[dao\] do not \[bu\] desire \[yu\] to be full/overflowing \[ying\].,"Because they don’t seek to become full,",proportional
15,16,4,夫唯不盈，,"Fū wéi bù yíng,","Now precisely because \[fu wei\] they are not \[bu\] full \[ying\],","They can become weathered, and have no interest in appearing new.",proportional
15,17,4,故能蔽而不新成。,Gù néng bì ér bù xīn chéng.,Therefore \[gu\] they can \[neng\] be worn out/concealed \[bi\] and \[er\] not \[bu\] newly \[xin\] compiled/completed \[cheng\].,"They can become weathered, and have no interest in appearing new.",proportional-fill
16,1,1,致虛極，,"Zhì xū jí,","Reach/attain \[zhi\] the extreme/limit \[ji\] of emptiness/void \[xu\],",Attain emptiness.,proportional
16,2,1,守靜篤。,Shǒu jìng dǔ.,Guard/hold \[shou\] stillness/tranquility \[jing\] firmly/sincerely \[du\].,Embrace stillness.,proportional
16,3,2,萬物並作，,"Wàn wù bìng zuò,","The ten thousand \[wan\] things/entities \[wu\] simultaneously \[bing\] arise/act \[zuo\],","The countless things arise together,",proportional
16,4,2,吾以觀復。,Wú yǐ guān fù.,I \[wu\] thereby \[yi\] observe \[guan\] their return/reversion \[fu\].,"Relying upon this, I observe their return.",proportional
16,5,3,夫物芸芸，,"Fū wù yún yún,","Now these entities \[wu\], flourishing and swarming \[yun yun\],","Multitudes flourish,",proportional
16,6,3,各復歸其根。,Gè fù guī qí gēn.,Each \[ge\] reverts and returns \[fu gui\] to its \[qi\] root \[gen\].,Each returns energy to its root.,proportional
16,7,3,歸根曰靜，,"Guī gēn yuē jìng,","Returning to the root \[gui gen\] is called \[yue\] stillness \[jing\],",Returning to the root is called stillness.,proportional
16,8,3,是謂復命。,Shì wèi fù mìng.,This \[shi\] is called \[wei\] returning to/restoring \[fu\] destiny/the system's command \[ming\].,This is called returning to what was given.,proportional
16,9,3,復命曰常，,"Fù mìng yuē cháng,","Restoring destiny \[fu ming\] is called \[yue\] the constant/eternal \[chang\],",Returning to what was given is called the ever-present.,proportional
16,10,3,知常曰明。,Zhī cháng yuē míng.,Knowing \[zhi\] the constant \[chang\] is called \[yue\] illumination/clarity \[ming\].,Knowing the ever-present is called clear-seeing.,proportional
16,11,4,不知常，,"Bù zhī cháng,","Not \[bu\] knowing \[zhi\] the constant \[chang\],",Not knowing the ever-present brings reckless action and disaster.,proportional
16,12,4,妄作凶。,Wàng zuò xiōng.,Recklessly \[wang\] acting/doing \[zuo\] leads to disaster/ill omen \[xiong\].,Knowing the ever-present creates the capacity to embrace the totality.,proportional
16,13,4,知常容，,"Zhī cháng róng,","Knowing \[zhi\] the constant \[chang\] brings capacity/tolerance \[rong\],",Embracing all leads to impartiality.,proportional
16,14,4,容乃公，,"Róng nǎi gōng,","Capacity \[rong\] then leads to \[nai\] impartiality/public \[gong\],",Impartiality leads to sovereignty.,proportional
16,15,4,公乃王，,"Gōng nǎi wáng,","Impartiality \[gong\] then leads to \[nai\] the Avatar/King \[wang\],",Sovereignty leads to the open sky.,proportional
16,16,4,王乃天，,"Wáng nǎi tiān,","The Avatar/King \[wang\] then leads to \[nai\] Heaven \[tian\],",The open sky leads to the Tao.,proportional
16,17,4,天乃道，,"Tiān nǎi dào,","Heaven \[tian\] then leads to \[nai\] the Tao \[dao\],",The Tao leads to the enduring.,proportional
16,18,4,道乃久，,"Dào nǎi jiǔ,","The Tao \[dao\] then leads to \[nai\] endurance/longevity \[jiu\],","and to the end of your days, no danger will find you.",proportional
16,19,4,没身不殆。,Mò shēn bù dài.,To the end of one's life/body \[mo shen\] there is no \[bu\] danger/exhaustion \[dai\].,"and to the end of your days, no danger will find you.",proportional-fill
17,1,1,太上，下知有之；,"Tài shàng, xià zhī yǒu zhī;","Highest/supreme \[tai shang\], those below \[xia\] know \[zhi\] of its existence \[you zhi\];","About the greatest leaders, little is known.",exact-count
17,2,1,其次，親而譽之；,"Qí cì, qīn ér yù zhī;","The next \[qi ci\], love/are close to \[qin\] and \[er\] praise \[yu\] them \[zhi\];",Good leaders are widely loved and praised.,exact-count
17,3,1,其次，畏之；,"Qí cì, wèi zhī;","The next \[qi ci\], fear \[wei\] them \[zhi\];",Poor leaders are feared.,exact-count
17,4,1,其次，侮之。,"Qí cì, wǔ zhī.","The next \[qi ci\], despise/insult \[wu\] them \[zhi\].",The worst leaders are despised by all.,exact-count
17,5,2,信不足焉，有不信焉。,"Xìn bù zú yān, yǒu bù xìn yān.","Trust/reliability \[xin\] is not \[bu\] sufficient \[zu\] here \[yan\], there is \[you\] no \[bu\] trust/reliability \[xin\] here \[yan\].","Where trust runs short, there is no trust.",exact-count
17,6,3,悠兮其貴言。,Yōu xī qí guì yán.,Distant/careful \[you\] oh \[xi\] their \[qi\] valuing/sparing \[gui\] of words \[yan\].,The greatest leaders speak sparingly.,exact-count
17,7,3,功成事遂，,"Gōng chéng shì suì,","Work/merit \[gong\] completed \[cheng\], affairs/tasks \[shi\] accomplished \[sui\],","When their work is done,",exact-count
17,8,3,百姓皆謂：「我自然」。,"Bǎi xìng jiē wèi: ""Wǒ zì rán"".","The hundred \[bai\] surnames/people \[xing\] all \[jie\] say \[wei\]: ""We \[wo\] are naturally so/spontaneous \[zi ran\]"".","The people all say, “We did this by ourselves.”",exact-count
18,1,0,大道廢，有仁義；,"Dà dào fèi, yǒu rén yì;","The Great \[da\] Tao \[dao\] is abandoned/abolished \[fei\], there is \[you\] benevolence \[ren\] and righteousness \[yi\];","When the great Tao is discarded, humaneness and duty appear.",exact-count
18,2,0,智慧出，有大偽；,"Zhì huì chū, yǒu dà wěi;","Wisdom/cleverness \[zhi\] and intelligence \[hui\] emerge \[chu\], there is \[you\] great \[da\] hypocrisy/falseness \[wei\];","When cleverness and erudition arise, great hypocrisy appears.",exact-count
18,3,0,六親不和，有孝慈；,"Liù qīn bù hé, yǒu xiào cí;","The six \[liu\] relations/kin \[qin\] are not \[bu\] harmonious \[he\], there is \[you\] filial piety \[xiao\] and deep love/compassion \[ci\];","When kin are out of harmony, devotion and tenderness appear.",exact-count
18,4,0,國家昏亂，有忠臣。,"Guó jiā hūn luàn, yǒu zhōng chén.","The state \[guo\] and family/nation \[jia\] are dark/chaotic \[hun luan\], there are \[you\] loyal \[zhong\] ministers/officials \[chen\].","When nations fall into chaos, loyal ministers appear.",exact-count
19,1,1,絕聖棄智，民利百倍；,"Jué shèng qì zhì, mín lì bǎi bèi;","Sever/cut off \[jue\] sageliness \[sheng\], abandon/discard \[qi\] wisdom/cleverness \[zhi\], the people \[min\] benefit \[li\] a hundred \[bai\] fold \[bei\];","Cut off sagehood, abandon cleverness, and the people benefit a hundredfold.",exact-count
19,2,1,絕仁棄義，民復孝慈；,"Jué rén qì yì, mín fù xiào cí;","Sever \[jue\] benevolence \[ren\], abandon \[qi\] righteousness \[yi\], the people \[min\] revert/return \[fu\] to filial piety \[xiao\] and deep love \[ci\];","Cut off humaneness, abandon duty, and the people return to devotion and tenderness.",exact-count
19,3,1,絕巧棄利，盜賊無有。,"Jué qiǎo qì lì, dào zéi wú yǒu.","Sever \[jue\] skill/cunning \[qiao\], abandon \[qi\] profit/gain \[li\], thieves \[dao\] and robbers \[zei\] will not exist \[wu you\].","Cut off cunning, abandon profit, and there are no thieves.",exact-count
19,4,2,此三者以為文不足，,"Cǐ sān zhě yǐ wéi wén bù zú,","These \[ci\] three \[san\] things \[zhe\] used as \[yi wei\] culture/adornment \[wen\] are not \[bu\] sufficient \[zu\],","These three, taken as cultural form, are not enough.",exact-count
19,5,2,故令有所屬：,Gù lìng yǒu suǒ shǔ:,Therefore \[gu\] cause/make \[ling\] them have \[you\] a place to belong/attach \[suo shu\]:,So give them something to belong to:,exact-count
19,6,2,見素抱樸，,"Jiàn sù bào pǔ,","Look at/display \[jian\] plainness/raw silk \[su\], embrace \[bao\] the uncarved wood \[pu\],","see the undyed silk, embrace the uncarved wood,",exact-count
19,7,2,少私寡欲。,Shǎo sī guǎ yù.,"Lessen/reduce \[shao\] selfishness/private interest \[si\], diminish \[gua\] desires \[yu\].","diminish the self, diminish desire.",exact-count
20,1,1,絕學無憂。,Jué xué wú yōu.,"Sever/cut off \[jue\] study/learning \[xue\], have no \[wu\] sorrow/worries \[you\].",Cut off learning and there is no worry.,proportional
20,2,1,唯之與阿，相去幾何？,"Wéi zhī yǔ ē, xiāng qù jǐ hé?","Agreement/yes \[wei\] and \[yu\] flattery/yeah \[e\], how much \[ji he\] is the distance/difference \[xiang qu\]?","Between a respectful yes and a careless yeah,",proportional
20,3,1,善之與惡，相去若何？,"Shàn zhī yǔ è, xiāng qù ruò hé?","Good \[shan\] and \[yu\] evil/bad \[e\], what is \[ruo he\] the distance/difference \[xiang qu\]?",how much distance?,proportional
20,4,1,人之所畏，不可不畏。,"Rén zhī suǒ wèi, bù kě bù wèi.","What \[suo\] people \[ren\] fear \[wei\], one cannot \[bu ke\] not \[bu\] fear \[wei\].","Between good and bad,",proportional
20,5,1,荒兮，其未央哉！,"Huāng xī, qí wèi yāng zāi\!","Vast/wild \[huang\] oh \[xi\], it \[qi\] has not yet \[wei\] reached the center/end \[yang\] alas \[zai\]\!",how far apart?,proportional
20,6,2,眾人熙熙，,"Zhòng rén xī xī,","The multitudes/masses \[zhong ren\] are merry/joyful \[xi xi\],",What people fear must be feared.,proportional
20,7,2,如享太牢，,"rú xiǎng tài láo,","Like \[ru\] enjoying a great sacrifice/feast \[xiang tai lao\],","How wild it is, and without end!",proportional
20,8,2,如春登臺。,rú chūn dēng tái.,Like \[ru\] climbing a terrace/tower \[deng tai\] in spring \[chun\].,"The crowd is merry, as if at a great feast,",proportional
20,9,2,我獨泊兮，其未兆；,"Wǒ dú bó xī, qí wèi zhào;","I \[wo\] alone \[du\] am anchored/still \[bo\] oh \[xi\], as if not yet \[wei\] showing signs/omens \[zhao\];",as if climbing a terrace in spring.,proportional
20,10,2,如嬰兒之未孩；,rú yīng ér zhī wèi hái;,Like \[ru\] an infant \[ying er\] who has not yet \[wei\] smiled/giggled \[hai\];,"I alone am moored, and show no sign,",proportional
20,11,2,傫傫兮，若無所歸。,"Lěi lěi xī, ruò wú suǒ guī.","Tired/listless \[lei lei\] oh \[xi\], as if \[ruo\] having nowhere \[wu suo\] to return \[gui\].","like an infant who has not yet learned to smile,",proportional
20,12,3,眾人皆有餘，,"Zhòng rén jiē yǒu yú,","The multitudes \[zhong ren\] all \[jie\] have excess/surplus \[you yu\],","listless, as if with nowhere to return.",proportional
20,13,3,而我獨若遺。,ér wǒ dú ruò yí.,Yet \[er\] I \[wo\] alone \[du\] seem \[ruo\] to be left behind/lacking \[yi\].,The crowd all have more than enough.,proportional
20,14,3,我愚人之心也哉！,Wǒ yú rén zhī xīn yě zāi\!,My \[wo\] mind/heart \[xin\] is that of a fool \[yu ren\] alas \[ye zai\]\!,I alone seem to have missed out.,proportional
20,15,3,沌沌兮！,Dùn dùn xī\!,Muddled/confused \[dun dun\] oh \[xi\]\!,I have the heart of a fool!,proportional
20,16,3,俗人昭昭，,"Sú rén zhāo zhāo,","Ordinary/vulgar people \[su ren\] are clear/bright \[zhao zhao\],",How muddled!,proportional
20,17,3,我獨昏昏。,wǒ dú hūn hūn.,I \[wo\] alone \[du\] am dark/murky \[hun hun\].,The worldly are bright. I alone am dark.,proportional
20,18,3,俗人察察，,"Sú rén chá chá,","Ordinary people \[su ren\] are sharp/discriminating \[cha cha\],",The worldly are sharp. I alone am dull.,proportional
20,19,3,我獨悶悶。,wǒ dú mèn mèn.,I \[wo\] alone \[du\] am dull/depressed \[men men\].,"Calm, like the sea.",proportional
20,20,4,澹兮，其若海；,"Dàn xī, qí ruò hǎi;","Tranquil/drifting \[dan\] oh \[xi\], like \[ruo\] the sea \[hai\];","Blown along, as if never stopping.",proportional
20,21,4,飂兮，若無止。,"Liào xī, ruò wú zhǐ.","Blown by the wind \[liao\] oh \[xi\], as if \[ruo\] having no \[wu\] stopping point \[zhi\].",The crowd all have something to use themselves for.,proportional
20,22,4,眾人皆有以，,"Zhòng rén jiē yǒu yǐ,","The multitudes \[zhong ren\] all \[jie\] have \[you\] a purpose/use \[yi\],","I alone am stubborn, and look coarse.",proportional
20,23,4,而我獨頑似鄙。,ér wǒ dú wán sì bǐ.,Yet \[er\] I \[wo\] alone \[du\] am stubborn \[wan\] and seem \[si\] rustic/uncouth \[bi\].,I alone differ from others:,proportional
20,24,4,我獨異於人，,"Wǒ dú yì yú rén,","I \[wo\] alone \[du\] am different \[yi\] from \[yu\] others \[ren\],",I prize feeding from the mother.,proportional
20,25,4,而貴食母。,ér guì shí mǔ.,And \[er\] I value/prize \[gui\] feeding/eating \[shi\] from the mother \[mu\].,I prize feeding from the mother.,proportional-fill
21,1,1,孔德之容，,"Kǒng dé zhī róng,","The appearance/capacity \[rong\] of great/hollow \[kong\] virtue/power \[de\],",The greatest integrity simply follows the Tao.,proportional
21,2,1,惟道是從。,wéi dào shì cóng.,Only \[wei\] follows \[cong\] the Tao \[dao\].,"Whatever the Tao is, it is only vague, only elusive.",proportional
21,3,1,道之為物，,"Dào zhī wéi wù,","The Tao's \[dao\] functioning as \[wei\] an entity/matter \[wu\],","Elusive and vague, and within it there is an image.",proportional
21,4,1,惟恍惟惚。,wéi huǎng wéi hū.,Is only \[wei\] elusive/indistinct \[huang\] and evasive/blurry \[hu\].,"Elusive and vague, and within it there is an image.",proportional-fill
21,5,2,惚兮恍兮，其中有象；,"Hū xī huǎng xī, qí zhōng yǒu xiàng;","Evasive \[hu\] oh \[xi\] elusive \[huang\] oh \[xi\], within its center \[qi zhong\] there is \[you\] an image/form \[xiang\];","Vague and elusive, and within it there is a thing.",proportional
21,6,2,恍兮惚兮，其中有物。,"Huǎng xī hū xī, qí zhōng yǒu wù.","Elusive \[huang\] oh \[xi\] evasive \[hu\] oh \[xi\], within its center \[qi zhong\] there is \[you\] a physical entity/matter \[wu\].","Deep and dim, and within it there is vital essence.",proportional
21,7,2,窈兮冥兮，其中有精；,"Yǎo xī míng xī, qí zhōng yǒu jīng;","Deep/dark \[yao\] oh \[xi\] obscure/dim \[ming\] oh \[xi\], within its center \[qi zhong\] there is \[you\] vital essence/primordial mass \[jing\];","Its essence utterly real, and within it there is trust.",proportional
21,8,2,其精甚真，其中有信。,"Qí jīng shèn zhēn, qí zhōng yǒu xìn.","Its \[qi\] essence \[jing\] is very \[shen\] real/true \[zhen\], within its center \[qi zhong\] there is \[you\] reliability/trust \[xin\].","Its essence utterly real, and within it there is trust.",proportional-fill
21,9,3,自古及今，其名不去，,"Zì gǔ jí jīn, qí míng bù qù,","From \[zi\] ancient times \[gu\] until \[ji\] today/present \[jin\], its \[qi\] name/ledger \[ming\] does not \[bu\] go away/erase \[qu\],","From ancient times until today, the Tao's name has never been erased.",proportional
21,10,3,以閱眾甫。,Yǐ yuè zhòng fǔ.,In order to \[yi\] inspect/review \[yue\] the origin/father \[fu\] of the multitudes \[zhong\].,"In this name, I observe the origin of the many.",proportional
21,11,3,吾何以知眾甫之狀哉？,Wú hé yǐ zhī zhòng fǔ zhī zhuàng zāi?,How do I \[wu he yi\] know \[zhi\] the condition/shape \[zhuang\] of the origin of the multitudes \[zhong fu\] alas \[zai\]?,How do I know the origin of the many is so? By this.,proportional
21,12,3,以此。,Yǐ cǐ.,By \[yi\] this \[ci\].,How do I know the origin of the many is so? By this.,proportional-fill
22,1,1,曲則全，,"Qū zé quán,","Bent/crooked \[qu\] then/thus \[ze\] whole/complete \[quan\],","Bend, and stay whole. Be wronged, and be made straight.",proportional
22,2,1,枉則直，,"Wǎng zé zhí,","Wronged/bent \[wang\] then/thus \[ze\] straight \[zhi\],","Be hollowed out, and be filled. Be worn out, and be renewed.",proportional
22,3,1,窪則盈，,"Wā zé yíng,","Hollow/low \[wa\] then/thus \[ze\] filled/full \[ying\],","Be hollowed out, and be filled. Be worn out, and be renewed.",proportional-fill
22,4,1,敝則新，,"Bì zé xīn,","Worn out/old \[bi\] then/thus \[ze\] new/renewed \[xin\],",Hold little and gain. Hold much and be confused.,proportional
22,5,1,少則得，,"Shǎo zé dé,","Few/little \[shao\] then/thus \[ze\] obtain/gain \[de\],",Therefore the sage embraces one thing and sets a pattern for the world.,proportional
22,6,1,多則惑。,Duō zé huò.,Many/much \[duo\] then/thus \[ze\] confused/deluded \[huo\].,Therefore the sage embraces one thing and sets a pattern for the world.,proportional-fill
22,7,2,是以聖人抱一,Shì yǐ shèng rén bào yī,Therefore \[shi yi\] the Sage \[sheng ren\] embraces/holds \[bao\] the One \[yi\],"They do not show themselves off, and so they see clearly.",proportional
22,8,2,為天下式。,wéi tiān xià shì.,to function as/be \[wei\] the world's \[tian xia\] model/pattern \[shi\].,"They do not insist they are right, and so their rightness shows.",proportional
22,9,3,不自見，故明；,"Bù zì jiàn, gù míng;","Does not \[bu\] self \[zi\] display/see \[jian\], therefore \[gu\] is bright/luminous \[ming\];","They do not insist they are right, and so their rightness shows.",proportional-fill
22,10,3,不自是，故彰；,"Bù zì shì, gù zhāng;","Does not \[bu\] self \[zi\] assert right/justify \[shi\], therefore \[gu\] is prominent/manifest \[zhang\];","They do not claim the work, and so the work is theirs.",proportional
22,11,3,不自伐，故有功；,"Bù zì fá, gù yǒu gōng;","Does not \[bu\] self \[zi\] boast/attack \[fa\], therefore \[gu\] has \[you\] merit/success \[gong\];","They do not make themselves great, and so they endure.",proportional
22,12,3,不自矜，故長。,"Bù zì jīn, gù cháng.","Does not \[bu\] self \[zi\] pride/pity \[jin\], therefore \[gu\] endures/lasts long \[chang\].","They do not make themselves great, and so they endure.",proportional-fill
22,13,4,夫唯不爭，,"Fū wéi bù zhēng,","Now only/precisely \[fu wei\] not \[bu\] contending/competing \[zheng\],","Because they do not contend, no one in the world can contend with them.",proportional
22,14,4,故天下莫能與之爭。,Gù tiān xià mò néng yǔ zhī zhēng.,Therefore \[gu\] the world \[tian xia\] no one \[mo\] can \[neng\] with \[yu\] them \[zhi\] contend \[zheng\].,"When the ancients said ""bend, and stay whole,"" were those empty words?",proportional
22,15,4,古之所謂「曲則全」者，,"Gǔ zhī suǒ wèi ""qū zé quán"" zhě,","The ancients' \[gu zhi\] so-called \[suo wei\] ""bent then whole"" \[qu ze quan\] those \[zhe\],","When the ancients said ""bend, and stay whole,"" were those empty words?",proportional-fill
22,16,4,豈虛言哉！,Qǐ xū yán zāi\!,How could it be \[qi\] empty \[xu\] words \[yan\] alas \[zai\]\!,These words hold. Return to them. Stay whole.,proportional
22,17,4,誠全而歸之。,Chéng quán ér guī zhī.,Truly \[cheng\] whole/complete \[quan\] and \[er\] return \[gui\] to it \[zhi\].,These words hold. Return to them. Stay whole.,proportional-fill
23,1,1,希言自然。,Xī yán zì rán.,Sparse/few \[xi\] words \[yan\] are natural/spontaneous \[zi ran\].,"Speak sparingly, for things go of themselves.",proportional
23,2,1,故飄風不終朝，,"Gù piāo fēng bù zhōng zhāo,","Therefore \[gu\] a squall/whirlwind \[piao feng\] does not \[bu\] last the whole \[zhong\] morning \[zhao\],",Therefore a squall doesn’t last all morning. Torrential rain doesn’t last all day.,proportional
23,3,1,驟雨不終日。,Zhòu yǔ bù zhōng rì.,A torrential rain \[zhou yu\] does not \[bu\] last the whole \[zhong\] day \[ri\].,Therefore a squall doesn’t last all morning. Torrential rain doesn’t last all day.,proportional-fill
23,4,1,孰為此者？天地。,Shú wèi cǐ zhě? Tiān dì.,Who \[shu\] does/makes \[wei\] this \[ci\] those \[zhe\]? Heaven \[tian\] and earth \[di\].,Who acts this way? Sky and earth.,proportional
23,5,1,天地尚不能久，,"Tiān dì shàng bù néng jiǔ,","Heaven and earth \[tian di\] still \[shang\] cannot \[bu neng\] last long \[jiu\],","If sky and earth can’t sustain intensity for long, how much less can we?",proportional
23,6,1,而況於人乎？,Ér kuàng yú rén hū?,And \[er\] how much more/let alone \[kuang\] for \[yu\] humans \[ren\] question particle \[hu\]?,"If sky and earth can’t sustain intensity for long, how much less can we?",proportional-fill
23,7,2,故從事於道者，,"Gù cóng shì yú dào zhě,","Therefore \[gu\] those who align/follow \[cong\] affairs/actions \[shi\] in/with \[yu\] the Tao \[dao\] those \[zhe\],","Therefore, the one who aligns their actions with the Tao merges with the Tao,",proportional
23,8,2,同於道；,Tóng yú dào;,Merge/identify \[tong\] with \[yu\] the Tao \[dao\];,"Therefore, the one who aligns their actions with the Tao merges with the Tao,",proportional-fill
23,9,2,德者，同於德；,"Dé zhě, tóng yú dé;","Virtue/power \[de\] those \[zhe\], merge/identify \[tong\] with \[yu\] virtue/power \[de\];","Whoever acts with integrity merges with integrity,",proportional
23,10,2,失者，同於失。,"Shī zhě, tóng yú shī.","Loss/losing \[shi\] those \[zhe\], merge/identify \[tong\] with \[yu\] loss \[shi\].",Whoever loses merges with the loss.,proportional
23,11,3,同於道者，,"Tóng yú dào zhě,","Those merged/identified with the Tao \[tong yu dao zhe\],",Whoever loses merges with the loss.,proportional-fill
23,12,3,道亦樂得之；,Dào yì lè dé zhī;,The Tao \[dao\] also \[yi\] is glad/happy \[le\] to obtain/get \[de\] them \[zhi\];,"Those merged with the Tao, the Tao gladly receives.",proportional
23,13,3,同於德者，,"Tóng yú dé zhě,","Those merged with virtue \[tong yu de zhe\],","Those merged with the Tao, the Tao gladly receives.",proportional-fill
23,14,3,德亦樂得之；,Dé yì lè dé zhī;,Virtue \[de\] also \[yi\] is glad/happy \[le\] to obtain \[de\] them \[zhi\];,"Those merged with integrity, integrity gladly receives.",proportional
23,15,3,同於失者，,"Tóng yú shī zhě,","Those merged with loss \[tong yu shi zhe\],","Those merged with loss, loss gladly receives.",proportional
23,16,3,失亦樂得之。,Shī yì lè dé zhī.,Loss \[shi\] also \[yi\] is glad/happy \[le\] to obtain \[de\] them \[zhi\].,"Those merged with loss, loss gladly receives.",proportional-fill
23,17,3,信不足焉，,"Xìn bù zú yān,","Trust/reliability \[xin\] is not \[bu\] sufficient/enough \[zu\] here \[yan\],","Where trust runs short, there is no trust.",proportional
23,18,3,有不信焉。,Yǒu bù xìn yān.,There is \[you\] no \[bu\] trust/reliability \[xin\] here \[yan\].,"Where trust runs short, there is no trust.",proportional-fill
24,1,1,企者不立；,Qǐ zhě bù lì;,Tiptoeing \[qi\] those \[zhe\] do not \[bu\] stand \[li\];,Those who stand on tiptoe do not stand.,proportional
24,2,1,跨者不行；,Kuà zhě bù xíng;,Striding/taking long steps \[kua\] those \[zhe\] do not \[bu\] walk/go \[xing\];,Those who take long strides get nowhere.,proportional
24,3,2,自見者不明；,Zì jiàn zhě bù míng;,Self \[zi\] displaying/seeing \[jian\] those \[zhe\] are not \[bu\] bright/clear \[ming\];,Those who show themselves off do not see clearly.,proportional
24,4,2,自是者不彰；,Zì shì zhě bù zhāng;,Self \[zi\] asserting right \[shi\] those \[zhe\] are not \[bu\] prominent/manifest \[zhang\];,Those who insist they are right convince no one.,proportional
24,5,2,自伐者無功；,Zì fá zhě wú gōng;,Self \[zi\] boasting/attacking \[fa\] those \[zhe\] have no \[wu\] merit/success \[gong\];,Those who claim the work have none.,proportional
24,6,2,自矜者不長。,Zì jīn zhě bù cháng.,Self \[zi\] priding/pitying \[jin\] those \[zhe\] do not \[bu\] endure/last long \[chang\].,Those who make themselves great do not endure.,proportional
24,7,3,其在道也，,"Qí zài dào yě,","Their \[qi\] place in \[zai\] the Tao \[dao\] particle \[ye\],","Measured by the Tao, these are called leftover food and wasted motion.",proportional
24,8,3,曰餘食贅行，,"Yuē yú shí zhuì xíng,","Is called \[yue\] leftover/surplus \[yu\] food \[shi\] and superfluous/tumor \[zhui\] actions/conduct \[xing\],",Living things recoil from them.,proportional
24,9,3,物或惡之，,"Wù huò wù zhī,","Physical entities/matter \[wu\] perhaps/naturally \[huo\] despise/hate \[wu\] them \[zhi\],",Those who are with the Tao do not dwell among them.,proportional
24,10,3,故有道者不處。,Gù yǒu dào zhě bù chǔ.,Therefore \[gu\] those possessing the Tao \[you dao zhe\] do not \[bu\] dwell/stay \[chu\] with them.,Those who are with the Tao do not dwell among them.,proportional-fill
25,1,1,有物混成，,"Yǒu wù hùn chéng,","There is \[you\] a physical entity/matter \[wu\] chaotically/undifferentiated \[hun\] compiled/formed \[cheng\],","Something formed in the undifferentiated, born before sky and earth.",proportional
25,2,1,先天地生。,Xiān tiān dì shēng.,Before \[xian\] heaven \[tian\] and earth \[di\] born/generated \[sheng\].,Silent. Empty. Solitary. Unchanging.,proportional
25,3,1,寂兮寥兮，,"Jì xī liáo xī,","Silent/still \[ji\] oh \[xi\] empty/void \[liao\] oh \[xi\],","It moves in a circle, never in danger,",proportional
25,4,1,獨立而不改，,"Dú lì ér bù gǎi,","Alone/independently \[du\] standing \[li\] and \[er\] not \[bu\] changing/altering \[gai\],","It moves in a circle, never in danger,",proportional-fill
25,5,1,周行而不殆，,"Zhōu xíng ér bù dài,","Circulating/everywhere \[zhou\] moving/going \[xing\] and \[er\] not \[bu\] endangered/exhausted \[dai\],",and can be taken as the mother of the world.,proportional
25,6,1,可以為天下母。,Kě yǐ wéi tiān xià mǔ.,Can \[ke\] thereby \[yi\] function as/be \[wei\] the world's \[tian xia\] mother \[mu\].,"Its true name, I will never know. Forcing a label upon it, I call it the Tao.",proportional
25,7,2,吾不知其名，,"Wú bù zhī qí míng,","I \[wu\] do not \[bu\] know \[zhi\] its \[qi\] name/ledger \[ming\],","Its true name, I will never know. Forcing a label upon it, I call it the Tao.",proportional-fill
25,8,2,強字之曰道，,"Qiǎng zì zhī yuē dào,","Forcing \[qiang\] a style/character \[zi\] for it \[zhi\] I call it \[yue\] the Tao \[dao\],","Forcing a description for it, I call it the vast.",proportional
25,9,2,強為之名曰大。,Qiǎng wèi zhī míng yuē dà.,Forcing \[qiang\] to make/function as \[wei\] its \[zhi\] name \[ming\] I call it \[yue\] Great/Vast \[da\].,"The vast means expanding, expanding means going far, going far means returning.",proportional
25,10,3,大曰逝，,"Dà yuē shì,","Great/Vast \[da\] means/is called \[yue\] passing/expanding \[shi\],","The vast means expanding, expanding means going far, going far means returning.",proportional-fill
25,11,3,逝曰遠，,"Shì yuē yuǎn,","Passing/expanding \[shi\] means \[yue\] going far \[yuan\],","Therefore, the Tao is vast, the sky is vast, the earth is vast, and humans are also vast.",proportional
